material-L1,material-L2,phase,stream,idealStream,stratum,kgPerHhPerWk
Glass waste,Non-packaging glass,2,grey bin,grey bin,rural £/££,0.0
Glass waste,Non-packaging glass,2,grey bin,grey bin,rural £££,0.03469387755102041
Glass waste,Non-packaging glass,2,recycling bin,grey bin,urban £,0.0
Glass waste,Non-packaging glass,2,recycling bin,grey bin,urban ££,0.0
Glass waste,Non-packaging glass,2,recycling bin,grey bin,urban £££,0.0
Glass waste,Non-packaging glass,2,recycling bin,grey bin,rural £/££,0.0
Glass waste,Non-packaging glass,2,recycling bin,grey bin,rural £££,0.0
Paper and cardboard,"Newspaper, magazines",1,grey bin,recycling bin,urban £,0.05
Paper and cardboard,"Newspaper, magazines",1,grey bin,recycling bin,urban ££,0.17567567567567569
Paper and cardboard,"Newspaper, magazines",1,grey bin,recycling bin,urban £££,0.19148936170212766
Paper and cardboard,"Newspaper, magazines",1,grey bin,recycling bin,rural £/££,0.075
Paper and cardboard,"Newspaper, magazines",1,grey bin,recycling bin,rural £££,0.045098039215686274
Paper and cardboard,"Newspaper, magazines",1,recycling bin,recycling bin,urban £,1.5119999999999998
Paper and cardboard,"Newspaper, magazines",1,recycling bin,recycling bin,urban ££,1.1081081081081081
Paper and cardboard,"Newspaper, magazines",1,recycling bin,recycling bin,urban £££,1.202127659574468
Paper and cardboard,"Newspaper, magazines",1,recycling bin,recycling bin,rural £/££,1.2576923076923079
Paper and cardboard,"Newspaper, magazines",1,recycling bin,recycling bin,rural £££,1.4862745098039216
Paper and cardboard,"Newspaper, magazines",2,grey bin,recycling bin,urban £,0.08979591836734695
Paper and cardboard,"Newspaper, magazines",2,grey bin,recycling bin,urban ££,0.1763157894736842
Paper and cardboard,"Newspaper, magazines",2,grey bin,recycling bin,urban £££,0.07200000000000001
Paper and cardboard,"Newspaper, magazines",2,grey bin,recycling bin,rural £/££,0.08775510204081632
Paper and cardboard,"Newspaper, magazines",2,grey bin,recycling bin,rural £££,0.12040816326530612
Paper and cardboard,"Newspaper, magazines",2,recycling bin,recycling bin,urban £,0.7877551020408163
Paper and cardboard,"Newspaper, magazines",2,recycling bin,recycling bin,urban ££,1.392105263157895
Paper and cardboard,"Newspaper, magazines",2,recycling bin,recycling bin,urban £££,1.436
Paper and cardboard,"Newspaper, magazines",2,recycling bin,recycling bin,rural £/££,1.1489795918367347
Paper and cardboard,"Newspaper, magazines",2,recycling bin,recycling bin,rural £££,1.2938775510204081
Paper and cardboard,Other Recyclable Paper,1,grey bin,recycling bin,urban £,0.24600000000000002
Paper and cardboard,Other Recyclable Paper,1,grey bin,recycling bin,urban ££,0.27567567567567564
Paper and cardboard,Other Recyclable Paper,1,grey bin,recycling bin,urban £££,0.1574468085106383
Paper and cardboard,Other Recyclable Paper,1,grey bin,recycling bin,rural £/££,0.27115384615384613
Paper and cardboard,Other Recyclable Paper,1,grey bin,recycling bin,rural £££,0.2647058823529412
Paper and cardboard,Other Recyclable Paper,1,recycling bin,recycling bin,urban £,0.332
Paper and cardboard,Other Recyclable Paper,1,recycling bin,recycling bin,urban ££,0.4243243243243243
Paper and cardboard,Other Recyclable Paper,1,recycling bin,recycling bin,urban £££,0.374468085106383
