region,year,quarter,material,recycling?,missed-bin?,tonnes
Stirling,2020,3,Plastic wastes,true,false,564.72
Stirling,2020,1,Paper and cardboard wastes,true,true,5.90
Stirling,2020,3,Paper and cardboard wastes,true,true,4.64
Stirling,2020,1,Household and similar wastes,false,false,3601.22
Stirling,2020,2,Glass wastes,true,true,22.72
Stirling,2020,1,Paper and cardboard wastes,true,false,831.26
Stirling,2020,3,Household and similar wastes,false,true,50.98
Stirling,2020,2,Animal and mixed food waste,false,true,4.98
Stirling,2020,4,Household and similar wastes,false,true,12.68
Stirling,2020,2,Paper and cardboard wastes,true,true,26.04
Stirling,2020,1,Glass wastes,true,false,581.96
Stirling,2020,3,Animal and mixed food waste,false,false,3592.04
Stirling,2020,4,Glass wastes,true,false,721.84
Stirling,2020,4,Animal and mixed food waste,false,false,1631.68
Stirling,2020,4,Household and similar wastes,false,false,4278.90
Stirling,2020,3,Glass wastes,true,false,694.86
Stirling,2020,4,Glass wastes,true,true,1.26
Stirling,2020,2,Household and similar wastes,false,false,5447.70
Stirling,2020,2,Paper and cardboard wastes,true,false,839.22
Stirling,2021,1,Glass wastes,true,false,736.84
Stirling,2021,1,Plastic wastes,true,false,648.82
Stirling,2021,1,Household and similar wastes,false,false,4168.92
Stirling,2021,1,Paper and cardboard wastes,true,false,856.00
Stirling,2021,1,Household and similar wastes,false,true,56.18
Stirling,2021,1,Animal and mixed food waste,false,false,1398.24
Stirling,2021,1,Paper and cardboard wastes,true,true,3.62
Stirling,2021,1,Animal and mixed food waste,false,true,0.3
