region,year,material,management,tonnes
Moray,2012,Rubber wastes,Landfilled,0
Argyll and Bute,2012,Textile wastes,Recycled,182
Argyll and Bute,2012,Combustion wastes,Other Diversion,0
Orkney Islands,2012,Textile wastes,Other Diversion,0
Outer Hebrides,2012,Combustion wastes,Landfilled,0
Outer Hebrides,2012,Rubber wastes,Other Diversion,0
Glasgow City,2012,Textile wastes,Other Diversion,0
Dumfries and Galloway,2012,Rubber wastes,Recycled,40
Moray,2012,Glass wastes,Landfilled,0
Aberdeenshire,2012,Health care and biological wastes,Recycled,0
Fife,2012,Textile wastes,Other Diversion,0
West Lothian,2012,Combustion wastes,Other Diversion,0
Shetland Islands,2012,Glass wastes,Landfilled,0
East Dunbartonshire,2012,Combustion wastes,Landfilled,0
South Lanarkshire,2012,Textile wastes,Other Diversion,0
Outer Hebrides,2012,Textile wastes,Recycled,54
Highland,2012,Glass wastes,Other Diversion,0
Dundee City,2012,Textile wastes,Landfilled,0
Highland,2012,Textile wastes,Landfilled,0
East Renfrewshire,2012,Textile wastes,Other Diversion,0
East Lothian,2012,Textile wastes,Other Diversion,0
Perth and Kinross,2012,Glass wastes,Landfilled,0
Perth and Kinross,2012,Textile wastes,Other Diversion,0
West Lothian,2012,Rubber wastes,Landfilled,0
South Lanarkshire,2012,Textile wastes,Recycled,1100
Dundee City,2012,Textile wastes,Other Diversion,0
North Ayrshire,2012,Combustion wastes,Other Diversion,0
Highland,2012,Glass wastes,Landfilled,0
North Ayrshire,2012,Rubber wastes,Landfilled,0
Perth and Kinross,2012,Textile wastes,Recycled,228
East Lothian,2012,Combustion wastes,Landfilled,0
Scottish Borders,2012,Textile wastes,Other Diversion,0
Highland,2012,Combustion wastes,Other Diversion,0
East Renfrewshire,2012,Textile wastes,Recycled,416
Perth and Kinross,2012,Paper and cardboard wastes,Landfilled,0
Dumfries and Galloway,2012,Textile wastes,Other Diversion,0
East Renfrewshire,2012,Textile wastes,Landfilled,0
Scottish Borders,2012,Glass wastes,Other Diversion,0
North Ayrshire,2012,Combustion wastes,Recycled,0
City of Edinburgh,2012,Glass wastes,Landfilled,0
Glasgow City,2012,Glass wastes,Recycled,7784
Shetland Islands,2012,Textile wastes,Recycled,9
West Lothian,2012,Combustion wastes,Landfilled,13
Fife,2012,Combustion wastes,Recycled,0
Renfrewshire,2012,Rubber wastes,Landfilled,0
North Ayrshire,2012,Textile wastes,Landfilled,0
City of Edinburgh,2012,Textile wastes,Other Diversion,0
Moray,2012,Glass wastes,Other Diversion,0
Falkirk,2012,Glass wastes,Other Diversion,0
Inverclyde,2012,Paper and cardboard wastes,Recycled,4258
Highland,2012,Textile wastes,Recycled,1290
Argyll and Bute,2012,Glass wastes,Other Diversion,0
South Lanarkshire,2012,Rubber wastes,Recycled,79
Highland,2012,Rubber wastes,Recycled,149
West Lothian,2012,Combustion wastes,Recycled,0
Falkirk,2012,Textile wastes,Other Diversion,0
Stirling,2012,Rubber wastes,Other Diversion,0
Perth and Kinross,2012,Paper and cardboard wastes,Other Diversion,0
Highland,2012,Combustion wastes,Landfilled,248
West Dunbartonshire,2012,Textile wastes,Other Diversion,0
Glasgow City,2012,Rubber wastes,Recycled,9
Argyll and Bute,2012,Textile wastes,Landfilled,0
Moray,2012,Glass wastes,Recycled,2378
Dundee City,2012,Textile wastes,Recycled,238
Angus,2012,Rubber wastes,Recycled,7
Angus,2012,Textile wastes,Landfilled,0
East Lothian,2012,Rubber wastes,Recycled,0
Falkirk,2012,Combustion wastes,Landfilled,623
Glasgow City,2012,Textile wastes,Recycled,796
Argyll and Bute,2012,Glass wastes,Landfilled,0
City of Edinburgh,2012,Glass wastes,Other Diversion,0
Falkirk,2012,Glass wastes,Landfilled,0
Midlothian,2012,Wood wastes,Other Diversion,0
Inverclyde,2012,Rubber wastes,Recycled,23
East Renfrewshire,2012,Rubber wastes,Landfilled,0
East Dunbartonshire,2012,Combustion wastes,Recycled,0
East Ayrshire,2012,Glass wastes,Other Diversion,0
Stirling,2012,Rubber wastes,Recycled,14
Dundee City,2012,Wood wastes,Other Diversion,0
Renfrewshire,2012,Rubber wastes,Recycled,0
Dumfries and Galloway,2012,Wood wastes,Other Diversion,0
Orkney Islands,2012,Wood wastes,Recycled,0
Clackmannanshire,2012,Rubber wastes,Other Diversion,0
East Ayrshire,2012,Wood wastes,Landfilled,0
Fife,2012,Rubber wastes,Recycled,269
Orkney Islands,2012,Wood wastes,Landfilled,0
Dumfries and Galloway,2012,Health care and biological wastes,Recycled,0
Stirling,2012,Combustion wastes,Recycled,0
West Lothian,2012,Glass wastes,Other Diversion,0
Dumfries and Galloway,2012,Rubber wastes,Landfilled,0
Scottish Borders,2012,Rubber wastes,Recycled,0
Perth and Kinross,2012,Combustion wastes,Other Diversion,0
Clackmannanshire,2012,Health care and biological wastes,Recycled,0
Clackmannanshire,2012,Glass wastes,Landfilled,0
East Dunbartonshire,2012,Wood wastes,Landfilled,0
Orkney Islands,2012,Rubber wastes,Recycled,7
Dumfries and Galloway,2012,Health care and biological wastes,Other Diversion,0
East Ayrshire,2012,Rubber wastes,Landfilled,0
Scottish Borders,2012,Rubber wastes,Other Diversion,0
Angus,2012,Wood wastes,Other Diversion,0
Inverclyde,2012,Combustion wastes,Other Diversion,178
Clackmannanshire,2012,Glass wastes,Recycled,1362
West Lothian,2012,Rubber wastes,Recycled,4
Highland,2012,Rubber wastes,Other Diversion,0
Scottish Borders,2012,Combustion wastes,Other Diversion,32
Perth and Kinross,2012,Rubber wastes,Landfilled,0
West Dunbartonshire,2012,Combustion wastes,Landfilled,0
Glasgow City,2012,Wood wastes,Recycled,9598
Argyll and Bute,2012,Health care and biological wastes,Other Diversion,0
Aberdeen City,2012,Wood wastes,Landfilled,0
Scottish Borders,2012,Wood wastes,Recycled,1040
Aberdeen City,2012,Wood wastes,Other Diversion,0
Scottish Borders,2012,Wood wastes,Landfilled,0
Outer Hebrides,2012,Health care and biological wastes,Other Diversion,0
Shetland Islands,2012,Wood wastes,Landfilled,0
City of Edinburgh,2012,Textile wastes,Landfilled,0
Scottish Borders,2012,Textile wastes,Landfilled,0
Angus,2012,Combustion wastes,Recycled,0
Aberdeenshire,2012,Glass wastes,Recycled,6748
East Ayrshire,2012,Textile wastes,Other Diversion,0
Aberdeenshire,2012,Glass wastes,Other Diversion,0
Perth and Kinross,2012,Textile wastes,Landfilled,0
Renfrewshire,2012,Combustion wastes,Landfilled,1193
Fife,2012,Glass wastes,Other Diversion,0
Argyll and Bute,2012,Combustion wastes,Recycled,0
Aberdeenshire,2012,Glass wastes,Landfilled,0
Scottish Borders,2012,Textile wastes,Recycled,141
Shetland Islands,2012,Textile wastes,Other Diversion,0
Shetland Islands,2012,Rubber wastes,Other Diversion,0
Fife,2012,Textile wastes,Landfilled,11
Falkirk,2012,Rubber wastes,Landfilled,0
Angus,2012,Rubber wastes,Other Diversion,0
West Dunbartonshire,2012,Rubber wastes,Other Diversion,0
Shetland Islands,2012,Glass wastes,Recycled,373
Clackmannanshire,2012,Textile wastes,Landfilled,0
Dumfries and Galloway,2012,Textile wastes,Recycled,113
East Ayrshire,2012,Combustion wastes,Other Diversion,0
East Lothian,2012,Rubber wastes,Landfilled,0
East Dunbartonshire,2012,Combustion wastes,Other Diversion,0
North Ayrshire,2012,Textile wastes,Other Diversion,0
Stirling,2012,Combustion wastes,Other Diversion,0
West Lothian,2012,Wood wastes,Recycled,3163
East Ayrshire,2012,Combustion wastes,Recycled,0
East Lothian,2012,Rubber wastes,Other Diversion,0
West Dunbartonshire,2012,Rubber wastes,Recycled,0
Aberdeen City,2012,Combustion wastes,Landfilled,0
Orkney Islands,2012,Textile wastes,Landfilled,0
Inverclyde,2012,Combustion wastes,Recycled,0
Shetland Islands,2012,Rubber wastes,Recycled,0
East Lothian,2012,Glass wastes,Recycled,2404
Stirling,2012,Combustion wastes,Landfilled,353
Angus,2012,Rubber wastes,Landfilled,0
Renfrewshire,2012,Textile wastes,Other Diversion,0
West Dunbartonshire,2012,Plastic wastes,Other Diversion,0
Highland,2012,Health care and biological wastes,Recycled,0
Fife,2012,Plastic wastes,Other Diversion,0
South Ayrshire,2012,Plastic wastes,Other Diversion,0
Dundee City,2012,Paper and cardboard wastes,Recycled,4382
Clackmannanshire,2012,Paper and cardboard wastes,Recycled,3378
Moray,2012,Health care and biological wastes,Other Diversion,0
Perth and Kinross,2012,Plastic wastes,Recycled,655
Clackmannanshire,2012,Plastic wastes,Other Diversion,0
Orkney Islands,2012,Paper and cardboard wastes,Other Diversion,0
Stirling,2012,Paper and cardboard wastes,Landfilled,0
Clackmannanshire,2012,Plastic wastes,Recycled,694
South Lanarkshire,2012,Paper and cardboard wastes,Other Diversion,0
South Ayrshire,2012,Plastic wastes,Landfilled,0
Stirling,2012,Paper and cardboard wastes,Recycled,3647
South Lanarkshire,2012,Health care and biological wastes,Landfilled,0
Stirling,2012,Health care and biological wastes,Recycled,0
East Ayrshire,2012,Plastic wastes,Landfilled,0
East Dunbartonshire,2012,Plastic wastes,Recycled,495
City of Edinburgh,2012,Rubber wastes,Landfilled,0
Falkirk,2012,Health care and biological wastes,Recycled,0
Fife,2012,Plastic wastes,Landfilled,0
East Dunbartonshire,2012,Health care and biological wastes,Recycled,0
Highland,2012,Health care and biological wastes,Landfilled,0
Renfrewshire,2012,Health care and biological wastes,Other Diversion,0
East Ayrshire,2012,Paper and cardboard wastes,Other Diversion,0
Fife,2012,Paper and cardboard wastes,Recycled,19656
West Dunbartonshire,2012,Paper and cardboard wastes,Other Diversion,0
Fife,2012,Paper and cardboard wastes,Landfilled,8
Perth and Kinross,2012,Plastic wastes,Landfilled,0
North Ayrshire,2012,Plastic wastes,Landfilled,0
Moray,2012,Health care and biological wastes,Landfilled,0
Dundee City,2012,Paper and cardboard wastes,Landfilled,0
North Lanarkshire,2012,Health care and biological wastes,Landfilled,0
East Dunbartonshire,2012,Rubber wastes,Landfilled,0
Fife,2012,Paper and cardboard wastes,Other Diversion,0
Argyll and Bute,2012,Rubber wastes,Landfilled,0
Highland,2012,Paper and cardboard wastes,Recycled,13123
East Renfrewshire,2012,Health care and biological wastes,Recycled,0
South Ayrshire,2012,Plastic wastes,Recycled,1132
Shetland Islands,2012,Plastic wastes,Landfilled,0
Clackmannanshire,2012,Plastic wastes,Landfilled,0
Shetland Islands,2012,Plastic wastes,Other Diversion,0
South Lanarkshire,2012,Paper and cardboard wastes,Recycled,15017
West Lothian,2012,Health care and biological wastes,Other Diversion,0
South Lanarkshire,2012,Paper and cardboard wastes,Landfilled,0
Scottish Borders,2012,Plastic wastes,Landfilled,0
Moray,2012,Rubber wastes,Recycled,0
City of Edinburgh,2012,Rubber wastes,Other Diversion,0
North Ayrshire,2012,Health care and biological wastes,Landfilled,0
Aberdeen City,2012,Paper and cardboard wastes,Recycled,7301
Dumfries and Galloway,2012,Plastic wastes,Other Diversion,0
Clackmannanshire,2012,Health care and biological wastes,Other Diversion,0
Aberdeenshire,2012,Plastic wastes,Recycled,1201
North Ayrshire,2012,Health care and biological wastes,Other Diversion,0
Aberdeen City,2012,Paper and cardboard wastes,Other Diversion,0
Scottish Borders,2012,Plastic wastes,Other Diversion,0
Aberdeenshire,2012,Health care and biological wastes,Other Diversion,0
North Ayrshire,2012,Paper and cardboard wastes,Recycled,8499
Shetland Islands,2012,Plastic wastes,Recycled,179
Fife,2012,Health care and biological wastes,Recycled,0
Clackmannanshire,2012,Paper and cardboard wastes,Other Diversion,0
South Lanarkshire,2012,Plastic wastes,Other Diversion,0
West Dunbartonshire,2012,Rubber wastes,Landfilled,0
East Renfrewshire,2012,Rubber wastes,Recycled,0
South Lanarkshire,2012,Plastic wastes,Landfilled,0
South Lanarkshire,2012,Plastic wastes,Recycled,2919
West Lothian,2012,Health care and biological wastes,Recycled,0
Argyll and Bute,2012,Rubber wastes,Other Diversion,0
East Lothian,2012,Paper and cardboard wastes,Recycled,4846
Glasgow City,2012,Paper and cardboard wastes,Recycled,19035
Falkirk,2012,Paper and cardboard wastes,Other Diversion,0
South Ayrshire,2012,Health care and biological wastes,Landfilled,0
East Dunbartonshire,2012,Rubber wastes,Other Diversion,0
East Lothian,2012,Paper and cardboard wastes,Landfilled,0
Scottish Borders,2012,Plastic wastes,Recycled,1645
Dumfries and Galloway,2012,Plastic wastes,Landfilled,0
Glasgow City,2012,Health care and biological wastes,Recycled,0
North Ayrshire,2012,Paper and cardboard wastes,Landfilled,0
Dumfries and Galloway,2012,Health care and biological wastes,Landfilled,0
Midlothian,2012,Rubber wastes,Other Diversion,0
Dundee City,2012,Plastic wastes,Recycled,339
South Ayrshire,2012,Health care and biological wastes,Other Diversion,0
Dundee City,2012,Rubber wastes,Landfilled,0
Dundee City,2012,Paper and cardboard wastes,Other Diversion,0
Aberdeen City,2012,Rubber wastes,Other Diversion,0
West Lothian,2012,Plastic wastes,Landfilled,0
Dundee City,2012,Plastic wastes,Landfilled,0
Shetland Islands,2012,Health care and biological wastes,Landfilled,0
East Dunbartonshire,2012,Paper and cardboard wastes,Recycled,4764
West Lothian,2012,Plastic wastes,Other Diversion,0
East Dunbartonshire,2012,Plastic wastes,Landfilled,0
Fife,2012,Health care and biological wastes,Other Diversion,0
Argyll and Bute,2012,Health care and biological wastes,Recycled,0
East Dunbartonshire,2012,Plastic wastes,Other Diversion,0
East Ayrshire,2012,Rubber wastes,Other Diversion,0
Angus,2012,Plastic wastes,Landfilled,0
West Lothian,2012,Paper and cardboard wastes,Other Diversion,0
East Ayrshire,2012,Paper and cardboard wastes,Landfilled,0
Midlothian,2012,Paper and cardboard wastes,Recycled,4375
Stirling,2012,Health care and biological wastes,Other Diversion,0
Aberdeenshire,2012,Health care and biological wastes,Landfilled,0
North Ayrshire,2012,Plastic wastes,Other Diversion,0
East Ayrshire,2012,Plastic wastes,Recycled,507
Midlothian,2012,Paper and cardboard wastes,Other Diversion,0
North Lanarkshire,2012,Paper and cardboard wastes,Landfilled,0
Fife,2012,Health care and biological wastes,Landfilled,0
East Ayrshire,2012,Paper and cardboard wastes,Recycled,5928
Clackmannanshire,2012,Health care and biological wastes,Landfilled,0
Inverclyde,2012,Plastic wastes,Landfilled,0
East Lothian,2012,Health care and biological wastes,Recycled,0
Outer Hebrides,2012,Health care and biological wastes,Recycled,0
Dundee City,2012,Health care and biological wastes,Landfilled,0
Dundee City,2012,Plastic wastes,Other Diversion,0
Shetland Islands,2012,Health care and biological wastes,Recycled,0
North Lanarkshire,2012,Paper and cardboard wastes,Other Diversion,0
West Dunbartonshire,2012,Paper and cardboard wastes,Recycled,4145
Inverclyde,2012,Paper and cardboard wastes,Landfilled,0
Outer Hebrides,2012,Paper and cardboard wastes,Landfilled,0
Midlothian,2012,Plastic wastes,Landfilled,0
Midlothian,2012,Plastic wastes,Other Diversion,0
North Ayrshire,2012,Rubber wastes,Recycled,39
East Ayrshire,2012,Health care and biological wastes,Other Diversion,0
Perth and Kinross,2012,Paper and cardboard wastes,Recycled,7946
Stirling,2012,Health care and biological wastes,Landfilled,0
Glasgow City,2012,Plastic wastes,Other Diversion,0
Glasgow City,2012,Plastic wastes,Landfilled,0
Perth and Kinross,2012,Plastic wastes,Other Diversion,0
North Lanarkshire,2012,Paper and cardboard wastes,Recycled,16933
West Dunbartonshire,2012,Plastic wastes,Recycled,916
Fife,2012,Rubber wastes,Other Diversion,0
Glasgow City,2012,Plastic wastes,Recycled,2996
East Ayrshire,2012,Health care and biological wastes,Landfilled,0
East Renfrewshire,2012,Paper and cardboard wastes,Recycled,3698
East Renfrewshire,2012,Paper and cardboard wastes,Other Diversion,0
North Lanarkshire,2012,Plastic wastes,Other Diversion,0
North Lanarkshire,2012,Plastic wastes,Landfilled,0
Fife,2012,Plastic wastes,Recycled,3464
East Renfrewshire,2012,Paper and cardboard wastes,Landfilled,0
Glasgow City,2012,Health care and biological wastes,Other Diversion,0
Inverclyde,2012,Paper and cardboard wastes,Other Diversion,0
North Lanarkshire,2012,Plastic wastes,Recycled,3601
West Dunbartonshire,2012,Plastic wastes,Landfilled,0
Moray,2012,Health care and biological wastes,Recycled,0
East Dunbartonshire,2012,Paper and cardboard wastes,Landfilled,0
Moray,2012,Plastic wastes,Landfilled,0
Perth and Kinross,2012,Rubber wastes,Recycled,42
City of Edinburgh,2012,Plastic wastes,Other Diversion,0
East Dunbartonshire,2012,Paper and cardboard wastes,Other Diversion,0
Shetland Islands,2012,Health care and biological wastes,Other Diversion,0
Falkirk,2012,Health care and biological wastes,Other Diversion,0
Aberdeen City,2012,Rubber wastes,Landfilled,0
City of Edinburgh,2012,Plastic wastes,Recycled,473
Renfrewshire,2012,Plastic wastes,Recycled,1462
East Renfrewshire,2012,Rubber wastes,Other Diversion,0
South Ayrshire,2012,Health care and biological wastes,Recycled,0
North Ayrshire,2012,Plastic wastes,Recycled,1217
West Lothian,2012,Plastic wastes,Recycled,2015
East Lothian,2012,Health care and biological wastes,Landfilled,0
Angus,2012,Plastic wastes,Recycled,511
Angus,2012,Plastic wastes,Other Diversion,0
Orkney Islands,2012,Plastic wastes,Landfilled,0
Renfrewshire,2012,Plastic wastes,Landfilled,0
Renfrewshire,2012,Plastic wastes,Other Diversion,0
Falkirk,2012,Rubber wastes,Other Diversion,0
Clackmannanshire,2012,Paper and cardboard wastes,Landfilled,0
Perth and Kinross,2012,Health care and biological wastes,Recycled,0
Glasgow City,2012,Health care and biological wastes,Landfilled,0
Highland,2012,Health care and biological wastes,Other Diversion,0
Dundee City,2012,Wood wastes,Recycled,2238
South Ayrshire,2012,Paper and cardboard wastes,Other Diversion,0
Orkney Islands,2012,Plastic wastes,Other Diversion,0
Dumfries and Galloway,2012,Paper and cardboard wastes,Other Diversion,0
East Renfrewshire,2012,Wood wastes,Landfilled,0
East Lothian,2012,Wood wastes,Landfilled,0
Inverclyde,2012,Wood wastes,Recycled,1878
Outer Hebrides,2012,Wood wastes,Recycled,158
South Ayrshire,2012,Wood wastes,Recycled,1696
Orkney Islands,2012,Health care and biological wastes,Other Diversion,0
Shetland Islands,2012,Wood wastes,Recycled,0
City of Edinburgh,2012,Health care and biological wastes,Recycled,0
Orkney Islands,2012,Wood wastes,Other Diversion,0
Angus,2012,Wood wastes,Landfilled,0
Orkney Islands,2012,Paper and cardboard wastes,Landfilled,0
Highland,2012,Wood wastes,Recycled,3465
Fife,2012,Wood wastes,Other Diversion,0
North Lanarkshire,2012,Wood wastes,Other Diversion,0
East Dunbartonshire,2012,Wood wastes,Recycled,684
Clackmannanshire,2012,Wood wastes,Other Diversion,0
Perth and Kinross,2012,Health care and biological wastes,Landfilled,0
Midlothian,2012,Wood wastes,Recycled,1299
East Lothian,2012,Paper and cardboard wastes,Other Diversion,0
East Lothian,2012,Plastic wastes,Landfilled,0
East Renfrewshire,2012,Plastic wastes,Other Diversion,0
Orkney Islands,2012,Rubber wastes,Other Diversion,0
City of Edinburgh,2012,Health care and biological wastes,Landfilled,0
Scottish Borders,2012,Health care and biological wastes,Recycled,0
Orkney Islands,2012,Health care and biological wastes,Landfilled,0
Highland,2012,Rubber wastes,Landfilled,0
West Dunbartonshire,2012,Health care and biological wastes,Recycled,0
Scottish Borders,2012,Health care and biological wastes,Other Diversion,0
South Ayrshire,2012,Paper and cardboard wastes,Landfilled,0
East Dunbartonshire,2012,Health care and biological wastes,Other Diversion,0
West Dunbartonshire,2012,Health care and biological wastes,Other Diversion,0
Aberdeen City,2012,Health care and biological wastes,Recycled,0
North Ayrshire,2012,Wood wastes,Landfilled,0
Perth and Kinross,2012,Wood wastes,Recycled,3063
Perth and Kinross,2012,Combustion wastes,Recycled,0
Renfrewshire,2012,Combustion wastes,Other Diversion,20
South Ayrshire,2012,Rubber wastes,Other Diversion,0
Dundee City,2012,Combustion wastes,Recycled,0
Aberdeenshire,2012,Wood wastes,Recycled,2999
Glasgow City,2012,Wood wastes,Landfilled,0
City of Edinburgh,2012,Paper and cardboard wastes,Other Diversion,0
Clackmannanshire,2012,Rubber wastes,Landfilled,0
West Dunbartonshire,2012,Health care and biological wastes,Landfilled,0
East Ayrshire,2012,Rubber wastes,Recycled,66
Moray,2012,Paper and cardboard wastes,Recycled,5014
Shetland Islands,2012,Paper and cardboard wastes,Other Diversion,0
Angus,2012,Paper and cardboard wastes,Recycled,3622
West Lothian,2012,Wood wastes,Other Diversion,0
South Ayrshire,2012,Rubber wastes,Recycled,0
City of Edinburgh,2012,Health care and biological wastes,Other Diversion,0
Clackmannanshire,2012,Wood wastes,Landfilled,0
Falkirk,2012,Wood wastes,Landfilled,0
Dundee City,2012,Health care and biological wastes,Other Diversion,0
Outer Hebrides,2012,Health care and biological wastes,Landfilled,0
Dundee City,2012,Health care and biological wastes,Recycled,0
East Dunbartonshire,2012,Rubber wastes,Recycled,19
Argyll and Bute,2012,Rubber wastes,Recycled,31
Glasgow City,2012,Paper and cardboard wastes,Other Diversion,0
Argyll and Bute,2012,Wood wastes,Recycled,1726
Outer Hebrides,2012,Wood wastes,Landfilled,0
East Renfrewshire,2012,Health care and biological wastes,Other Diversion,0
Shetland Islands,2012,Paper and cardboard wastes,Landfilled,0
South Lanarkshire,2012,Health care and biological wastes,Other Diversion,0
West Dunbartonshire,2012,Wood wastes,Landfilled,0
South Ayrshire,2012,Paper and cardboard wastes,Recycled,5964
Shetland Islands,2012,Rubber wastes,Landfilled,0
Shetland Islands,2012,Wood wastes,Other Diversion,0
Shetland Islands,2012,Paper and cardboard wastes,Recycled,73
Renfrewshire,2012,Wood wastes,Landfilled,0
Stirling,2012,Wood wastes,Other Diversion,0
Orkney Islands,2012,Health care and biological wastes,Recycled,0
Stirling,2012,Plastic wastes,Other Diversion,0
Perth and Kinross,2012,Health care and biological wastes,Other Diversion,0
Falkirk,2012,Paper and cardboard wastes,Landfilled,0
East Ayrshire,2012,Health care and biological wastes,Recycled,0
Aberdeen City,2012,Paper and cardboard wastes,Landfilled,0
Moray,2012,Rubber wastes,Other Diversion,0
Stirling,2012,Plastic wastes,Recycled,800
Aberdeen City,2012,Plastic wastes,Landfilled,0
Stirling,2012,Plastic wastes,Landfilled,0
Renfrewshire,2012,Health care and biological wastes,Landfilled,0
Aberdeenshire,2012,Rubber wastes,Landfilled,0
Angus,2012,Health care and biological wastes,Recycled,0
Aberdeen City,2012,Plastic wastes,Recycled,735
Inverclyde,2012,Health care and biological wastes,Landfilled,0
East Ayrshire,2012,Plastic wastes,Other Diversion,0
Dumfries and Galloway,2012,Paper and cardboard wastes,Recycled,748
North Ayrshire,2012,Paper and cardboard wastes,Other Diversion,0
Renfrewshire,2012,Rubber wastes,Other Diversion,0
Angus,2012,Health care and biological wastes,Other Diversion,0
Aberdeen City,2012,Plastic wastes,Other Diversion,0
North Ayrshire,2012,Health care and biological wastes,Recycled,0
Inverclyde,2012,Health care and biological wastes,Other Diversion,0
Falkirk,2012,Paper and cardboard wastes,Recycled,9287
Aberdeenshire,2012,Plastic wastes,Landfilled,0
Aberdeenshire,2012,Plastic wastes,Other Diversion,0
Angus,2012,Health care and biological wastes,Landfilled,0
City of Edinburgh,2012,Plastic wastes,Landfilled,0
Inverclyde,2012,Health care and biological wastes,Recycled,0
Argyll and Bute,2012,Plastic wastes,Landfilled,0
Argyll and Bute,2012,Plastic wastes,Recycled,302
City of Edinburgh,2012,Rubber wastes,Recycled,67
Aberdeenshire,2012,Rubber wastes,Other Diversion,0
Argyll and Bute,2012,Plastic wastes,Other Diversion,0
Outer Hebrides,2012,Rubber wastes,Recycled,5
Moray,2012,Plastic wastes,Other Diversion,0
Stirling,2012,Paper and cardboard wastes,Other Diversion,0
North Lanarkshire,2012,Health care and biological wastes,Recycled,0
Midlothian,2012,Health care and biological wastes,Recycled,0
East Renfrewshire,2012,Plastic wastes,Recycled,815
Midlothian,2012,Health care and biological wastes,Other Diversion,0
Falkirk,2012,Plastic wastes,Other Diversion,0
South Lanarkshire,2012,Rubber wastes,Landfilled,0
Fife,2012,Rubber wastes,Landfilled,0
Midlothian,2012,Health care and biological wastes,Landfilled,0
Scottish Borders,2012,Paper and cardboard wastes,Recycled,7062
West Dunbartonshire,2012,Paper and cardboard wastes,Landfilled,0
Inverclyde,2012,Plastic wastes,Recycled,514
Scottish Borders,2012,Paper and cardboard wastes,Landfilled,0
Outer Hebrides,2012,Plastic wastes,Other Diversion,0
Falkirk,2012,Plastic wastes,Recycled,1884
Glasgow City,2012,Rubber wastes,Landfilled,0
Highland,2012,Plastic wastes,Landfilled,0
Renfrewshire,2012,Health care and biological wastes,Recycled,0
Orkney Islands,2012,Paper and cardboard wastes,Recycled,540
Aberdeenshire,2012,Rubber wastes,Recycled,177
Outer Hebrides,2012,Plastic wastes,Landfilled,0
Midlothian,2012,Plastic wastes,Recycled,654
Dumfries and Galloway,2012,Paper and cardboard wastes,Landfilled,0
Scottish Borders,2012,Paper and cardboard wastes,Other Diversion,0
Outer Hebrides,2012,Plastic wastes,Recycled,178
Highland,2012,Paper and cardboard wastes,Other Diversion,0
Midlothian,2012,Rubber wastes,Recycled,57
Falkirk,2012,Plastic wastes,Landfilled,0
East Lothian,2012,Plastic wastes,Recycled,644
South Lanarkshire,2012,Rubber wastes,Other Diversion,0
West Lothian,2012,Health care and biological wastes,Landfilled,0
Glasgow City,2012,Paper and cardboard wastes,Landfilled,0
Highland,2012,Plastic wastes,Other Diversion,0
East Renfrewshire,2012,Plastic wastes,Landfilled,0
North Lanarkshire,2012,Health care and biological wastes,Other Diversion,0
East Lothian,2012,Plastic wastes,Other Diversion,0
Highland,2012,Plastic wastes,Recycled,855
Fife,2012,Household and similar wastes,Other Diversion,0
Inverclyde,2012,Household and similar wastes,Recycled,8
Midlothian,2012,Household and similar wastes,Other Diversion,0
Inverclyde,2012,Chemical wastes,Landfilled,0
South Lanarkshire,2012,Chemical wastes,Other Diversion,0
Stirling,2012,Household and similar wastes,Other Diversion,0
Shetland Islands,2012,Chemical wastes,Recycled,0
Perth and Kinross,2012,Household and similar wastes,Other Diversion,0
Argyll and Bute,2012,Chemical wastes,Landfilled,0
West Lothian,2012,Household and similar wastes,Recycled,343
Dumfries and Galloway,2012,Household and similar wastes,Landfilled,23555
Inverclyde,2012,Household and similar wastes,Landfilled,15793
East Dunbartonshire,2012,Household and similar wastes,Landfilled,33865
Shetland Islands,2012,Household and similar wastes,Other Diversion,0
Midlothian,2012,Household and similar wastes,Recycled,0
West Lothian,2012,Household and similar wastes,Other Diversion,31
East Lothian,2012,Household and similar wastes,Landfilled,24169
Scottish Borders,2012,Household and similar wastes,Landfilled,29390
Highland,2012,Household and similar wastes,Recycled,1303
City of Edinburgh,2012,Chemical wastes,Landfilled,0
Clackmannanshire,2012,Chemical wastes,Landfilled,0
South Ayrshire,2012,Household and similar wastes,Landfilled,30275
East Renfrewshire,2012,Chemical wastes,Recycled,1
Shetland Islands,2012,Chemical wastes,Landfilled,0
Argyll and Bute,2012,Household and similar wastes,Landfilled,27660
Aberdeen City,2012,Household and similar wastes,Other Diversion,0
Highland,2012,Chemical wastes,Recycled,23
Outer Hebrides,2012,Chemical wastes,Landfilled,0
Highland,2012,Household and similar wastes,Landfilled,69188
Clackmannanshire,2012,Chemical wastes,Other Diversion,0
South Ayrshire,2012,Chemical wastes,Recycled,11
Perth and Kinross,2012,Household and similar wastes,Landfilled,33472
Dundee City,2012,Household and similar wastes,Recycled,0
East Renfrewshire,2012,Chemical wastes,Other Diversion,0
Dundee City,2012,Vegetal wastes,Recycled,8239
Fife,2012,Vegetal wastes,Landfilled,299
Glasgow City,2012,Vegetal wastes,Other Diversion,0
Angus,2012,Vegetal wastes,Landfilled,0
Fife,2012,Chemical wastes,Landfilled,0
North Ayrshire,2012,Chemical wastes,Other Diversion,0
Glasgow City,2012,Chemical wastes,Other Diversion,0
