region,year,material,management,tonnes
North Lanarkshire,2011,"Metallic wastes, non-ferrous",Recycled,371
East Ayrshire,2011,Vegetal wastes,Landfilled,0
Aberdeen City,2011,Vegetal wastes,Recycled,11630
Renfrewshire,2011,Vegetal wastes,Landfilled,0
Dumfries and Galloway,2011,"Metallic wastes, non-ferrous",Other Diversion,0
Inverclyde,2011,Vegetal wastes,Other Diversion,0
Argyll and Bute,2011,Vegetal wastes,Landfilled,0
Scottish Borders,2011,Vegetal wastes,Landfilled,0
Inverclyde,2011,Vegetal wastes,Recycled,4133
Aberdeenshire,2011,Vegetal wastes,Recycled,9619
Aberdeen City,2011,Vegetal wastes,Landfilled,0
Midlothian,2011,Vegetal wastes,Other Diversion,60
East Dunbartonshire,2011,Vegetal wastes,Recycled,8684
City of Edinburgh,2011,Vegetal wastes,Other Diversion,2088
Clackmannanshire,2011,Vegetal wastes,Landfilled,0
Dundee City,2011,"Metallic wastes, non-ferrous",Other Diversion,0
East Ayrshire,2011,Vegetal wastes,Other Diversion,62
Shetland Islands,2011,"Metallic wastes, non-ferrous",Other Diversion,0
Dumfries and Galloway,2011,Vegetal wastes,Recycled,1088
Clackmannanshire,2011,Vegetal wastes,Recycled,4320
Shetland Islands,2011,Vegetal wastes,Recycled,0
City of Edinburgh,2011,Vegetal wastes,Landfilled,0
West Dunbartonshire,2011,Vegetal wastes,Landfilled,0
Perth and Kinross,2011,Vegetal wastes,Recycled,15091
Outer Hebrides,2011,Vegetal wastes,Landfilled,0
Scottish Borders,2011,Vegetal wastes,Other Diversion,0
Shetland Islands,2011,Animal and mixed food waste,Landfilled,0
City of Edinburgh,2011,Animal and mixed food waste,Recycled,544
Perth and Kinross,2011,Animal and mixed food waste,Landfilled,0
Glasgow City,2011,Animal and mixed food waste,Landfilled,0
Shetland Islands,2011,Animal and mixed food waste,Recycled,2
Argyll and Bute,2011,Animal and mixed food waste,Landfilled,0
Glasgow City,2011,Animal and mixed food waste,Recycled,3
Orkney Islands,2011,Animal and mixed food waste,Other Diversion,0
Dundee City,2011,Animal and mixed food waste,Other Diversion,0
Orkney Islands,2011,Animal and mixed food waste,Recycled,13
Perth and Kinross,2011,Animal and mixed food waste,Recycled,3816
Aberdeenshire,2011,"Metallic wastes, non-ferrous",Recycled,205
Dundee City,2011,Animal and mixed food waste,Landfilled,0
City of Edinburgh,2011,Animal and mixed food waste,Landfilled,0
Renfrewshire,2011,"Metallic wastes, non-ferrous",Recycled,0
Argyll and Bute,2011,Animal and mixed food waste,Other Diversion,322
Perth and Kinross,2011,Animal and mixed food waste,Other Diversion,188
Scottish Borders,2011,Animal and mixed food waste,Landfilled,0
Dumfries and Galloway,2011,"Metallic wastes, non-ferrous",Landfilled,0
Outer Hebrides,2011,Animal and mixed food waste,Recycled,0
North Ayrshire,2011,"Metallic wastes, non-ferrous",Landfilled,0
Highland,2011,"Metallic wastes, non-ferrous",Landfilled,0
