region,year,quarter,yyyy-MM-dd,material,tonnes-weight,tonnes-co2e
Stirling,2016,4,2016-12-31,Glass (Mixed - assumed go to aggregates),0.00124,0.001135344
Stirling,2016,4,2016-12-31,WEEE (Fridges/Freezers),0,0.0
Stirling,2013,1,2013-03-31,Glass (colour separated - assumed remelt),0.0041,0.0036694999999999998
Stirling,2018,2,2018-06-30,WEEE (Fridges/Freezers),0,0.0
Stirling,2018,4,2018-12-31,Textiles & Footwear,0.33468199999999996,7.473783741999999
Stirling,2018,2,2018-06-30,Scrap Metal,0.02289,0.067912341
Stirling,2015,1,2015-03-31,Aggregates (rubble),0.070415,0.00056332
Stirling,2017,2,2017-06-30,Batteries,0,0.0
Stirling,2018,3,2018-09-30,Food & Drink,0.3541840000000001,1.4454249040000002
Stirling,2014,3,2014-09-30,Aluminium,0.361534,3.56413691
Stirling,2015,2,2015-06-30,Wood,0.000961,0.001401138
Stirling,2014,4,2014-12-31,Aggregates (rubble),0.02027,0.00016216
Stirling,2018,4,2018-12-31,WEEE (Fridges/Freezers),0.005638,0.021623801965
Stirling,2018,4,2018-12-31,Glass (Mixed - assumed go to aggregates),0.014580000000000002,0.01335528
Stirling,2013,1,2013-03-31,plastic bags (average plastic film used - LLDPE),0,0.0
Stirling,2016,2,2016-06-30,Scrap Metal,0.01544,0.049372329999999997
Stirling,2014,3,2014-09-30,Wood,0.034232,0.049910256000000004
Stirling,2019,1,2019-03-31,Food & Drink,0.023839999999999996,0.09729494022399999
Stirling,2017,1,2017-03-31,Plastics,0.018820000000000004,0.06349868000000002
Stirling,2014,2,2014-06-30,Books,0.049905,0.076604175
Stirling,2015,1,2015-03-31,Books,0.05217400000000001,0.08008709
Stirling,2015,2,2015-06-30,Paper & Cardboard,0.020379,0.032367072999999999
Stirling,2014,1,2014-03-31,Scrap Metal,0,0.0
Stirling,2015,1,2015-03-31,Aluminium,0.038415,0.37896397499999995
Stirling,2019,1,2019-03-31,Wood,0.008734,0.0038184803447999998
Stirling,2014,4,2014-12-31,Scrap Metal,0.0009189999999999999,0.00255271100000000026
Stirling,2019,3,2019-09-30,Books,0.46483,0.454156434091
Stirling,2017,4,2017-12-31,Paper & Cardboard,0.011338000000000001,0.010884480000000002
Stirling,2017,1,2017-03-31,Textiles & Footwear,0.10380000000000001,2.3179578
Stirling,2018,4,2018-12-31,Books,0.11349099999999996,0.11084138236849995
Stirling,2019,3,2019-09-30,Scrap Metal,0.16328600000000002,0.5269218510380001
Stirling,2017,4,2017-12-31,Mixed Cans,0,0.0
Stirling,2015,1,2015-03-31,Food & Drink,0.032979,0.1332445642176859
Stirling,2018,2,2018-06-30,Plastics,0.028368000000000002,0.095713632
Stirling,2013,2,2013-06-30,Large WEEE (excluding fluorescent tubes),0,0.0
Stirling,2018,3,2018-09-30,Scrap Metal,0.126654,0.3904910296
Stirling,2018,4,2018-12-31,Batteries,0.0349,0.42435886152999996
Stirling,2015,4,2015-12-31,Paper & Cardboard,0.001405,0.002156675
Stirling,2015,2,2015-06-30,Aggregates (rubble),0.016005,0.00012804
Stirling,2014,1,2014-03-31,Small WEEE,0.0045,0.0079965
Stirling,2013,2,2013-06-30,plastic bottles (Average rigid plastics used - HDPE and PET),0.05793,0.19203795
Stirling,2019,1,2019-03-31,Paper & Cardboard,0.00495,0.00442170927
Stirling,2019,3,2019-09-30,Plastics,0.174022,0.5464998547474
Stirling,2014,3,2014-09-30,Aggregates (rubble),0.42611,0.0034088800000000004
Stirling,2017,3,2017-09-30,Mixed Cans,0.0071,0.046434
Stirling,2017,2,2017-06-30,Food & Drink,0,0.0
Stirling,2017,1,2017-03-31,Paper & Cardboard,0.0017999999999999998,0.0017279999999999998
Stirling,2019,3,2019-09-30,Wood,0.01834,0.008025242876
Stirling,2015,3,2015-09-30,Large WEEE (excluding fluorescent tubes),0.061443,0.07883136900000001
Stirling,2018,3,2018-09-30,Aggregates,0.026009999999999998,0.00028611
Stirling,2015,4,2015-12-31,Aluminium,0.003975,0.051408675
Stirling,2017,4,2017-12-31,Glass (Mixed - assumed go to aggregates),0.016631999999999998,0.015228259199999997
