region,year,quarter,yyyy-MM-dd,material,tonnes-weight,tonnes-co2e
Stirling,2018,2,2018-06-30,Paper & Cardboard,0.002381,0.00228576
Stirling,2018,2,2018-06-30,Small WEEE,0.020652,0.036791538
Stirling,2014,1,2014-03-31,Books,0.06908,0.1060378
Stirling,2016,2,2016-06-30,Textiles & Footwear,0.086125,1.8689125
Stirling,2018,2,2018-06-30,Food & Drink,0.0088,0.035912800000000004
Stirling,2019,2,2019-06-30,Scrap Metal,0.0253499999999999955,0.08106324471599999
Stirling,2017,1,2017-03-31,Wood,0.0116,0.0052896
Stirling,2017,3,2017-09-30,Textiles & Footwear,1.8481499999999996,41.27103764999999
Stirling,2018,4,2018-12-31,Paper & Cardboard,0.010037999999999998,0.008966690434799998
Stirling,2016,3,2016-09-30,Food & Drink,0.443146,1.808478826
Stirling,2016,2,2016-06-30,Glass (colour separated - assumed remelt),0.00765,0.00684369
Stirling,2017,4,2017-12-31,Books,0.11225200000000001,0.10776192
Stirling,2019,3,2019-09-30,Paper & Cardboard,0.01067,0.009535339396
Stirling,2016,1,2016-03-31,Small WEEE,0.01504,0.02672608
Stirling,2016,2,2016-06-30,Mixed Cans,0,0.0
Stirling,2014,1,2014-03-31,plastic bottles (Average rigid plastics used - HDPE and PET),0,0.0
Stirling,2017,2,2017-06-30,Textiles & Footwear,0.07347000000000003,1.6406585700000005
Stirling,2014,2,2014-06-30,Scrap Metal,0.002623,0.0079981629999999992
Stirling,2017,3,2017-09-30,Food & Drink,0.5188599999999999,2.1174676599999993
Stirling,2017,1,2017-03-31,Small WEEE,0.00443,0.007892044999999999
Stirling,2014,3,2014-09-30,Paper & Cardboard,0.053936,0.084344689999999997
Stirling,2016,4,2016-12-31,Food & Drink,0.010395,0.04242199499999999
Stirling,2014,3,2014-09-30,Food & Drink,0.930195,3.7582530523202754
Stirling,2013,2,2013-06-30,Textiles & Footwear,1.88108,42.531218799999995
