business-sector,year,material,tonnes
"Manufacture of chemicals, plastics and pharmaceuticals",2011,"Metallic wastes, mixed ferrous and non-ferrous",2505
Manufacture of food and beverage products,2011,Glass wastes,15845
"Agriculture, forestry and fishing",2011,Glass wastes,11
Water industry,2011,Glass wastes,10
Mining and quarrying,2011,Glass wastes,97
Other manufacturing,2011,Glass wastes,1065
Commerce,2011,Glass wastes,15632
Power industry,2011,Glass wastes,59
Manufacture of wood products,2011,Glass wastes,107
Waste management,2011,Glass wastes,10
"Manufacture of chemicals, plastics and pharmaceuticals",2011,Glass wastes,107
Manufacture of food and beverage products,2011,Paper and cardboard wastes,1067
"Agriculture, forestry and fishing",2011,Paper and cardboard wastes,725
Water industry,2011,Paper and cardboard wastes,683
Mining and quarrying,2011,Paper and cardboard wastes,3071
Other manufacturing,2011,Paper and cardboard wastes,12641
Commerce,2011,Paper and cardboard wastes,56494
Power industry,2011,Paper and cardboard wastes,1062
Manufacture of wood products,2011,Paper and cardboard wastes,834
Waste management,2011,Paper and cardboard wastes,683
"Manufacture of chemicals, plastics and pharmaceuticals",2011,Paper and cardboard wastes,683
Manufacture of food and beverage products,2011,Rubber wastes,0
"Agriculture, forestry and fishing",2011,Rubber wastes,707
Water industry,2011,Rubber wastes,0
Mining and quarrying,2011,Rubber wastes,0
Other manufacturing,2011,Rubber wastes,0
Commerce,2011,Rubber wastes,31991
Power industry,2011,Rubber wastes,1
Manufacture of wood products,2011,Rubber wastes,0
Waste management,2011,Rubber wastes,0
"Manufacture of chemicals, plastics and pharmaceuticals",2011,Rubber wastes,0
Manufacture of food and beverage products,2011,Plastic wastes,218
"Agriculture, forestry and fishing",2011,Plastic wastes,23384
Water industry,2011,Plastic wastes,218
Mining and quarrying,2011,Plastic wastes,560
Other manufacturing,2011,Plastic wastes,530
Commerce,2011,Plastic wastes,6002
Power industry,2011,Plastic wastes,211
Manufacture of wood products,2011,Plastic wastes,211
Waste management,2011,Plastic wastes,195
"Manufacture of chemicals, plastics and pharmaceuticals",2011,Plastic wastes,321
Manufacture of food and beverage products,2011,Wood wastes,950
"Agriculture, forestry and fishing",2011,Wood wastes,596
Water industry,2011,Wood wastes,592
Mining and quarrying,2011,Wood wastes,5452
Other manufacturing,2011,Wood wastes,14262
Commerce,2011,Wood wastes,39965
Power industry,2011,Wood wastes,592
Manufacture of wood products,2011,Wood wastes,7113
Waste management,2011,Wood wastes,580
"Manufacture of chemicals, plastics and pharmaceuticals",2011,Wood wastes,8811
Manufacture of food and beverage products,2011,Textile wastes,2
"Agriculture, forestry and fishing",2011,Textile wastes,2
Water industry,2011,Textile wastes,2
Mining and quarrying,2011,Textile wastes,2
Other manufacturing,2011,Textile wastes,17576
Commerce,2011,Textile wastes,693
Power industry,2011,Textile wastes,2
Manufacture of wood products,2011,Textile wastes,2
Waste management,2011,Textile wastes,2
"Manufacture of chemicals, plastics and pharmaceuticals",2011,Textile wastes,2
Manufacture of food and beverage products,2011,Waste containing PCB,0
"Agriculture, forestry and fishing",2011,Waste containing PCB,1
Water industry,2011,Waste containing PCB,0
Mining and quarrying,2011,Waste containing PCB,3
Other manufacturing,2011,Waste containing PCB,1
Commerce,2011,Waste containing PCB,6
Power industry,2011,Waste containing PCB,0
Manufacture of wood products,2011,Waste containing PCB,0
Waste management,2011,Waste containing PCB,0
"Manufacture of chemicals, plastics and pharmaceuticals",2011,Waste containing PCB,0
Manufacture of food and beverage products,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",246
"Agriculture, forestry and fishing",2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",663
Water industry,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",1440
Mining and quarrying,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",6892
Other manufacturing,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",1039
Commerce,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",17520
Power industry,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",235
Manufacture of wood products,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",227
Waste management,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",217
"Manufacture of chemicals, plastics and pharmaceuticals",2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",240
Manufacture of food and beverage products,2011,Discarded vehicles,6767
"Agriculture, forestry and fishing",2011,Discarded vehicles,2585
Water industry,2011,Discarded vehicles,0
Mining and quarrying,2011,Discarded vehicles,0
Other manufacturing,2011,Discarded vehicles,6354
Commerce,2011,Discarded vehicles,41663
Power industry,2011,Discarded vehicles,5
Manufacture of wood products,2011,Discarded vehicles,0
Waste management,2011,Discarded vehicles,0
"Manufacture of chemicals, plastics and pharmaceuticals",2011,Discarded vehicles,0
Manufacture of food and beverage products,2011,Batteries and accumulators wastes,1853
"Agriculture, forestry and fishing",2011,Batteries and accumulators wastes,600
Water industry,2011,Batteries and accumulators wastes,44
Mining and quarrying,2011,Batteries and accumulators wastes,1002
Other manufacturing,2011,Batteries and accumulators wastes,1116
Commerce,2011,Batteries and accumulators wastes,5709
Power industry,2011,Batteries and accumulators wastes,110
Manufacture of wood products,2011,Batteries and accumulators wastes,25
Waste management,2011,Batteries and accumulators wastes,1
"Manufacture of chemicals, plastics and pharmaceuticals",2011,Batteries and accumulators wastes,40
Manufacture of food and beverage products,2011,Animal and mixed food waste,90664
"Agriculture, forestry and fishing",2011,Animal and mixed food waste,18013
Water industry,2011,Animal and mixed food waste,92
Mining and quarrying,2011,Animal and mixed food waste,1441
Other manufacturing,2011,Animal and mixed food waste,92
Commerce,2011,Animal and mixed food waste,10736
Power industry,2011,Animal and mixed food waste,92
Manufacture of wood products,2011,Animal and mixed food waste,92
Waste management,2011,Animal and mixed food waste,92
"Manufacture of chemicals, plastics and pharmaceuticals",2011,Animal and mixed food waste,92
Manufacture of food and beverage products,2011,Vegetal wastes,208405
"Agriculture, forestry and fishing",2011,Vegetal wastes,9837
Water industry,2011,Vegetal wastes,2969
Mining and quarrying,2011,Vegetal wastes,2969
Other manufacturing,2011,Vegetal wastes,2969
Commerce,2011,Vegetal wastes,120988
Power industry,2011,Vegetal wastes,2980
Manufacture of wood products,2011,Vegetal wastes,2969
Waste management,2011,Vegetal wastes,2969
"Manufacture of chemicals, plastics and pharmaceuticals",2011,Vegetal wastes,2976
