business-sector,year,material,tonnes
Other manufacturing,2012,Discarded vehicles,7
Commerce,2012,Discarded vehicles,44657
Power industry,2012,Discarded vehicles,4
Manufacture of wood products,2012,Discarded vehicles,0
Waste management,2012,Discarded vehicles,0
"Manufacture of chemicals, plastics and pharmaceuticals",2012,Discarded vehicles,0
Manufacture of food and beverage products,2012,Batteries and accumulators wastes,1178
"Agriculture, forestry and fishing",2012,Batteries and accumulators wastes,688
Water industry,2012,Batteries and accumulators wastes,56
Mining and quarrying,2012,Batteries and accumulators wastes,269
Other manufacturing,2012,Batteries and accumulators wastes,268
Commerce,2012,Batteries and accumulators wastes,3454
Power industry,2012,Batteries and accumulators wastes,62
Manufacture of wood products,2012,Batteries and accumulators wastes,6
Waste management,2012,Batteries and accumulators wastes,0
"Manufacture of chemicals, plastics and pharmaceuticals",2012,Batteries and accumulators wastes,19
Manufacture of food and beverage products,2012,Animal and mixed food waste,89078
"Agriculture, forestry and fishing",2012,Animal and mixed food waste,1073
Water industry,2012,Animal and mixed food waste,57
Mining and quarrying,2012,Animal and mixed food waste,5619
Other manufacturing,2012,Animal and mixed food waste,398
Commerce,2012,Animal and mixed food waste,18552
Power industry,2012,Animal and mixed food waste,3
Manufacture of wood products,2012,Animal and mixed food waste,3
Waste management,2012,Animal and mixed food waste,3
"Manufacture of chemicals, plastics and pharmaceuticals",2012,Animal and mixed food waste,3
Manufacture of food and beverage products,2012,Vegetal wastes,312521
"Agriculture, forestry and fishing",2012,Vegetal wastes,17526
Water industry,2012,Vegetal wastes,1338
Mining and quarrying,2012,Vegetal wastes,1381
Other manufacturing,2012,Vegetal wastes,1761
Commerce,2012,Vegetal wastes,77509
Power industry,2012,Vegetal wastes,1334
Manufacture of wood products,2012,Vegetal wastes,1334
Waste management,2012,Vegetal wastes,1333
"Manufacture of chemicals, plastics and pharmaceuticals",2012,Vegetal wastes,1341
Manufacture of food and beverage products,2012,"Animal faeces, urine and manure",0
"Agriculture, forestry and fishing",2012,"Animal faeces, urine and manure",133497
Water industry,2012,"Animal faeces, urine and manure",0
Mining and quarrying,2012,"Animal faeces, urine and manure",0
Other manufacturing,2012,"Animal faeces, urine and manure",0
Commerce,2012,"Animal faeces, urine and manure",12
Power industry,2012,"Animal faeces, urine and manure",0
Manufacture of wood products,2012,"Animal faeces, urine and manure",0
Waste management,2012,"Animal faeces, urine and manure",0
"Manufacture of chemicals, plastics and pharmaceuticals",2012,"Animal faeces, urine and manure",0
Manufacture of food and beverage products,2012,Household and similar wastes,18933
"Agriculture, forestry and fishing",2012,Household and similar wastes,2641
Water industry,2012,Household and similar wastes,12693
Mining and quarrying,2012,Household and similar wastes,34161
Other manufacturing,2012,Household and similar wastes,41115
Commerce,2012,Household and similar wastes,769119
Power industry,2012,Household and similar wastes,8305
Manufacture of wood products,2012,Household and similar wastes,23260
Waste management,2012,Household and similar wastes,2459
"Manufacture of chemicals, plastics and pharmaceuticals",2012,Household and similar wastes,7875
Manufacture of food and beverage products,2012,Mixed and undifferentiated materials,12893
"Agriculture, forestry and fishing",2012,Mixed and undifferentiated materials,3839
Water industry,2012,Mixed and undifferentiated materials,5633
Mining and quarrying,2012,Mixed and undifferentiated materials,37386
Other manufacturing,2012,Mixed and undifferentiated materials,30902
Commerce,2012,Mixed and undifferentiated materials,12722
Power industry,2012,Mixed and undifferentiated materials,657
Manufacture of wood products,2012,Mixed and undifferentiated materials,809
Waste management,2012,Mixed and undifferentiated materials,404
"Manufacture of chemicals, plastics and pharmaceuticals",2012,Mixed and undifferentiated materials,4416
Manufacture of food and beverage products,2012,Sorting residues,31
"Agriculture, forestry and fishing",2012,Sorting residues,0
Water industry,2012,Sorting residues,5
Mining and quarrying,2012,Sorting residues,0
Other manufacturing,2012,Sorting residues,62
Commerce,2012,Sorting residues,3507
Power industry,2012,Sorting residues,0
Manufacture of wood products,2012,Sorting residues,0
Waste management,2012,Sorting residues,0
"Manufacture of chemicals, plastics and pharmaceuticals",2012,Sorting residues,0
Manufacture of food and beverage products,2012,Common sludges,6287
"Agriculture, forestry and fishing",2012,Common sludges,1
Water industry,2012,Common sludges,115405
Mining and quarrying,2012,Common sludges,95
Other manufacturing,2012,Common sludges,1362
Commerce,2012,Common sludges,3850
Power industry,2012,Common sludges,22
Manufacture of wood products,2012,Common sludges,248
Waste management,2012,Common sludges,0
"Manufacture of chemicals, plastics and pharmaceuticals",2012,Common sludges,2
Manufacture of food and beverage products,2012,Mineral waste from construction and demolition,0
"Agriculture, forestry and fishing",2012,Mineral waste from construction and demolition,1
Water industry,2012,Mineral waste from construction and demolition,542
Mining and quarrying,2012,Mineral waste from construction and demolition,0
Other manufacturing,2012,Mineral waste from construction and demolition,6148
Commerce,2012,Mineral waste from construction and demolition,3207
Power industry,2012,Mineral waste from construction and demolition,152
Manufacture of wood products,2012,Mineral waste from construction and demolition,1967
Waste management,2012,Mineral waste from construction and demolition,0
"Manufacture of chemicals, plastics and pharmaceuticals",2012,Mineral waste from construction and demolition,0
Manufacture of food and beverage products,2012,Other mineral wastes,16021
"Agriculture, forestry and fishing",2012,Other mineral wastes,396
Water industry,2012,Other mineral wastes,3139
Mining and quarrying,2012,Other mineral wastes,104954
Other manufacturing,2012,Other mineral wastes,15378
Commerce,2012,Other mineral wastes,18013
Power industry,2012,Other mineral wastes,592
Manufacture of wood products,2012,Other mineral wastes,403
Waste management,2012,Other mineral wastes,4
"Manufacture of chemicals, plastics and pharmaceuticals",2012,Other mineral wastes,653
Manufacture of food and beverage products,2012,Combustion wastes,30
"Agriculture, forestry and fishing",2012,Combustion wastes,0
Water industry,2012,Combustion wastes,0
Mining and quarrying,2012,Combustion wastes,0
Other manufacturing,2012,Combustion wastes,982
Commerce,2012,Combustion wastes,1
Power industry,2012,Combustion wastes,498475
Manufacture of wood products,2012,Combustion wastes,0
Waste management,2012,Combustion wastes,0
"Manufacture of chemicals, plastics and pharmaceuticals",2012,Combustion wastes,200
Manufacture of food and beverage products,2012,Soils,3402
"Agriculture, forestry and fishing",2012,Soils,4369
Water industry,2012,Soils,4028
Mining and quarrying,2012,Soils,3500
Other manufacturing,2012,Soils,3516
Commerce,2012,Soils,65707
Power industry,2012,Soils,3434
Manufacture of wood products,2012,Soils,3413
Waste management,2012,Soils,3339
"Manufacture of chemicals, plastics and pharmaceuticals",2012,Soils,3434
Manufacture of food and beverage products,2012,Dredging spoils,0
"Agriculture, forestry and fishing",2012,Dredging spoils,0
Water industry,2012,Dredging spoils,0
Mining and quarrying,2012,Dredging spoils,0
Other manufacturing,2012,Dredging spoils,0
Commerce,2012,Dredging spoils,332
Power industry,2012,Dredging spoils,0
Manufacture of wood products,2012,Dredging spoils,0
Waste management,2012,Dredging spoils,0
"Manufacture of chemicals, plastics and pharmaceuticals",2012,Dredging spoils,0
Manufacture of food and beverage products,2012,Mineral wastes from waste treatment and stabilised wastes,0
"Agriculture, forestry and fishing",2012,Mineral wastes from waste treatment and stabilised wastes,0
Water industry,2012,Mineral wastes from waste treatment and stabilised wastes,0
Mining and quarrying,2012,Mineral wastes from waste treatment and stabilised wastes,410
Other manufacturing,2012,Mineral wastes from waste treatment and stabilised wastes,219
Commerce,2012,Mineral wastes from waste treatment and stabilised wastes,168
Power industry,2012,Mineral wastes from waste treatment and stabilised wastes,5211
Manufacture of wood products,2012,Mineral wastes from waste treatment and stabilised wastes,596
Waste management,2012,Mineral wastes from waste treatment and stabilised wastes,0
"Manufacture of chemicals, plastics and pharmaceuticals",2012,Mineral wastes from waste treatment and stabilised wastes,0
Manufacture of food and beverage products,2013,Spent solvents,292
"Agriculture, forestry and fishing",2013,Spent solvents,3
Water industry,2013,Spent solvents,147
Mining and quarrying,2013,Spent solvents,1777
Other manufacturing,2013,Spent solvents,730
Commerce,2013,Spent solvents,30
Power industry,2013,Spent solvents,147
Manufacture of wood products,2013,Spent solvents,147
Waste management,2013,Spent solvents,3
"Manufacture of chemicals, plastics and pharmaceuticals",2013,Spent solvents,52652
Manufacture of food and beverage products,2013,"Acid, alkaline or saline wastes",58
"Agriculture, forestry and fishing",2013,"Acid, alkaline or saline wastes",1
Water industry,2013,"Acid, alkaline or saline wastes",20
Mining and quarrying,2013,"Acid, alkaline or saline wastes",578
Other manufacturing,2013,"Acid, alkaline or saline wastes",3931
Commerce,2013,"Acid, alkaline or saline wastes",13
Power industry,2013,"Acid, alkaline or saline wastes",21
Manufacture of wood products,2013,"Acid, alkaline or saline wastes",57
Waste management,2013,"Acid, alkaline or saline wastes",0
"Manufacture of chemicals, plastics and pharmaceuticals",2013,"Acid, alkaline or saline wastes",3040
Manufacture of food and beverage products,2013,Used oils,291
"Agriculture, forestry and fishing",2013,Used oils,5085
Water industry,2013,Used oils,133
Mining and quarrying,2013,Used oils,29292
Other manufacturing,2013,Used oils,10517
Commerce,2013,Used oils,31899
Power industry,2013,Used oils,698
Manufacture of wood products,2013,Used oils,153
Waste management,2013,Used oils,0
"Manufacture of chemicals, plastics and pharmaceuticals",2013,Used oils,2303
Manufacture of food and beverage products,2013,Chemical wastes,5400
"Agriculture, forestry and fishing",2013,Chemical wastes,34024
Water industry,2013,Chemical wastes,946
Mining and quarrying,2013,Chemical wastes,19389
Other manufacturing,2013,Chemical wastes,9027
Commerce,2013,Chemical wastes,25695
Power industry,2013,Chemical wastes,1227
Manufacture of wood products,2013,Chemical wastes,1338
Waste management,2013,Chemical wastes,57
"Manufacture of chemicals, plastics and pharmaceuticals",2013,Chemical wastes,17782
Manufacture of food and beverage products,2013,Industrial effluent sludges,91
"Agriculture, forestry and fishing",2013,Industrial effluent sludges,45
Water industry,2013,Industrial effluent sludges,319
Mining and quarrying,2013,Industrial effluent sludges,49697
Other manufacturing,2013,Industrial effluent sludges,5889
Commerce,2013,Industrial effluent sludges,938
Power industry,2013,Industrial effluent sludges,328
Manufacture of wood products,2013,Industrial effluent sludges,945
Waste management,2013,Industrial effluent sludges,0
"Manufacture of chemicals, plastics and pharmaceuticals",2013,Industrial effluent sludges,226
Manufacture of food and beverage products,2013,Sludges and liquid wastes from waste treatment,0
"Agriculture, forestry and fishing",2013,Sludges and liquid wastes from waste treatment,0
Water industry,2013,Sludges and liquid wastes from waste treatment,2
Mining and quarrying,2013,Sludges and liquid wastes from waste treatment,0
Other manufacturing,2013,Sludges and liquid wastes from waste treatment,2549
Commerce,2013,Sludges and liquid wastes from waste treatment,0
Power industry,2013,Sludges and liquid wastes from waste treatment,0
Manufacture of wood products,2013,Sludges and liquid wastes from waste treatment,0
Waste management,2013,Sludges and liquid wastes from waste treatment,0
"Manufacture of chemicals, plastics and pharmaceuticals",2013,Sludges and liquid wastes from waste treatment,0
Manufacture of food and beverage products,2013,Health care and biological wastes,0
"Agriculture, forestry and fishing",2013,Health care and biological wastes,0
Water industry,2013,Health care and biological wastes,0
Mining and quarrying,2013,Health care and biological wastes,26
Other manufacturing,2013,Health care and biological wastes,0
Commerce,2013,Health care and biological wastes,40627
Power industry,2013,Health care and biological wastes,0
Manufacture of wood products,2013,Health care and biological wastes,0
Waste management,2013,Health care and biological wastes,0
"Manufacture of chemicals, plastics and pharmaceuticals",2013,Health care and biological wastes,0
Manufacture of food and beverage products,2013,"Metallic wastes, ferrous",9920
"Agriculture, forestry and fishing",2013,"Metallic wastes, ferrous",3253
Water industry,2013,"Metallic wastes, ferrous",19632
Mining and quarrying,2013,"Metallic wastes, ferrous",2258
Other manufacturing,2013,"Metallic wastes, ferrous",21351
Commerce,2013,"Metallic wastes, ferrous",57969
Power industry,2013,"Metallic wastes, ferrous",131
Manufacture of wood products,2013,"Metallic wastes, ferrous",18
Waste management,2013,"Metallic wastes, ferrous",0
"Manufacture of chemicals, plastics and pharmaceuticals",2013,"Metallic wastes, ferrous",302
Manufacture of food and beverage products,2013,"Metallic wastes, non-ferrous",6552
"Agriculture, forestry and fishing",2013,"Metallic wastes, non-ferrous",443
Water industry,2013,"Metallic wastes, non-ferrous",348
Mining and quarrying,2013,"Metallic wastes, non-ferrous",138
Other manufacturing,2013,"Metallic wastes, non-ferrous",2769
Commerce,2013,"Metallic wastes, non-ferrous",9385
Power industry,2013,"Metallic wastes, non-ferrous",1
Manufacture of wood products,2013,"Metallic wastes, non-ferrous",0
Waste management,2013,"Metallic wastes, non-ferrous",0
"Manufacture of chemicals, plastics and pharmaceuticals",2013,"Metallic wastes, non-ferrous",118
Manufacture of food and beverage products,2013,"Metallic wastes, mixed ferrous and non-ferrous",34840
"Agriculture, forestry and fishing",2013,"Metallic wastes, mixed ferrous and non-ferrous",3876
Water industry,2013,"Metallic wastes, mixed ferrous and non-ferrous",4945
Mining and quarrying,2013,"Metallic wastes, mixed ferrous and non-ferrous",5030
Other manufacturing,2013,"Metallic wastes, mixed ferrous and non-ferrous",8471
Commerce,2013,"Metallic wastes, mixed ferrous and non-ferrous",113827
Power industry,2013,"Metallic wastes, mixed ferrous and non-ferrous",1589
Manufacture of wood products,2013,"Metallic wastes, mixed ferrous and non-ferrous",1483
Waste management,2013,"Metallic wastes, mixed ferrous and non-ferrous",1483
"Manufacture of chemicals, plastics and pharmaceuticals",2013,"Metallic wastes, mixed ferrous and non-ferrous",8500
Manufacture of food and beverage products,2013,Glass wastes,14809
"Agriculture, forestry and fishing",2013,Glass wastes,193
Water industry,2013,Glass wastes,70
Mining and quarrying,2013,Glass wastes,222
Other manufacturing,2013,Glass wastes,20431
Commerce,2013,Glass wastes,33523
Power industry,2013,Glass wastes,71
Manufacture of wood products,2013,Glass wastes,68
Waste management,2013,Glass wastes,68
"Manufacture of chemicals, plastics and pharmaceuticals",2013,Glass wastes,73
Manufacture of food and beverage products,2013,Paper and cardboard wastes,1775
"Agriculture, forestry and fishing",2013,Paper and cardboard wastes,550
Water industry,2013,Paper and cardboard wastes,648
Mining and quarrying,2013,Paper and cardboard wastes,5495
Other manufacturing,2013,Paper and cardboard wastes,1716
Commerce,2013,Paper and cardboard wastes,39787
Power industry,2013,Paper and cardboard wastes,667
Manufacture of wood products,2013,Paper and cardboard wastes,592
Waste management,2013,Paper and cardboard wastes,550
"Manufacture of chemicals, plastics and pharmaceuticals",2013,Paper and cardboard wastes,965
Manufacture of food and beverage products,2013,Rubber wastes,0
"Agriculture, forestry and fishing",2013,Rubber wastes,723
Water industry,2013,Rubber wastes,0
Mining and quarrying,2013,Rubber wastes,0
Other manufacturing,2013,Rubber wastes,0
Commerce,2013,Rubber wastes,32831
Power industry,2013,Rubber wastes,1
Manufacture of wood products,2013,Rubber wastes,0
Waste management,2013,Rubber wastes,0
"Manufacture of chemicals, plastics and pharmaceuticals",2013,Rubber wastes,0
Manufacture of food and beverage products,2013,Plastic wastes,421
"Agriculture, forestry and fishing",2013,Plastic wastes,23370
Water industry,2013,Plastic wastes,189
Mining and quarrying,2013,Plastic wastes,787
Other manufacturing,2013,Plastic wastes,354
Commerce,2013,Plastic wastes,6006
Power industry,2013,Plastic wastes,186
Manufacture of wood products,2013,Plastic wastes,181
Waste management,2013,Plastic wastes,181
"Manufacture of chemicals, plastics and pharmaceuticals",2013,Plastic wastes,505
Manufacture of food and beverage products,2013,Wood wastes,811
"Agriculture, forestry and fishing",2013,Wood wastes,811
Water industry,2013,Wood wastes,1479
Mining and quarrying,2013,Wood wastes,10012
Other manufacturing,2013,Wood wastes,17542
Commerce,2013,Wood wastes,27743
Power industry,2013,Wood wastes,1040
Manufacture of wood products,2013,Wood wastes,47319
Waste management,2013,Wood wastes,811
"Manufacture of chemicals, plastics and pharmaceuticals",2013,Wood wastes,1194
Manufacture of food and beverage products,2013,Textile wastes,832
"Agriculture, forestry and fishing",2013,Textile wastes,24
Water industry,2013,Textile wastes,24
Mining and quarrying,2013,Textile wastes,47
Other manufacturing,2013,Textile wastes,14372
Commerce,2013,Textile wastes,1894
Power industry,2013,Textile wastes,24
Manufacture of wood products,2013,Textile wastes,24
Waste management,2013,Textile wastes,24
"Manufacture of chemicals, plastics and pharmaceuticals",2013,Textile wastes,24
Manufacture of food and beverage products,2013,Waste containing PCB,1
"Agriculture, forestry and fishing",2013,Waste containing PCB,4
Water industry,2013,Waste containing PCB,0
Mining and quarrying,2013,Waste containing PCB,18
Other manufacturing,2013,Waste containing PCB,5
Commerce,2013,Waste containing PCB,158
Power industry,2013,Waste containing PCB,1
Manufacture of wood products,2013,Waste containing PCB,0
Waste management,2013,Waste containing PCB,0
"Manufacture of chemicals, plastics and pharmaceuticals",2013,Waste containing PCB,3
Manufacture of food and beverage products,2013,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",251
"Agriculture, forestry and fishing",2013,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",219
Water industry,2013,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",643
Mining and quarrying,2013,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",1578
Other manufacturing,2013,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",1176
Commerce,2013,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",11869
Power industry,2013,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",205
Manufacture of wood products,2013,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",185
Waste management,2013,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",173
"Manufacture of chemicals, plastics and pharmaceuticals",2013,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",297
Manufacture of food and beverage products,2013,Discarded vehicles,3600
"Agriculture, forestry and fishing",2013,Discarded vehicles,3496
Water industry,2013,Discarded vehicles,9
Mining and quarrying,2013,Discarded vehicles,1
Other manufacturing,2013,Discarded vehicles,1
Commerce,2013,Discarded vehicles,52857
Power industry,2013,Discarded vehicles,7
Manufacture of wood products,2013,Discarded vehicles,0
Waste management,2013,Discarded vehicles,0
"Manufacture of chemicals, plastics and pharmaceuticals",2013,Discarded vehicles,0
Manufacture of food and beverage products,2013,Batteries and accumulators wastes,1882
"Agriculture, forestry and fishing",2013,Batteries and accumulators wastes,300
Water industry,2013,Batteries and accumulators wastes,206
Mining and quarrying,2013,Batteries and accumulators wastes,863
Other manufacturing,2013,Batteries and accumulators wastes,897
Commerce,2013,Batteries and accumulators wastes,3489
Power industry,2013,Batteries and accumulators wastes,190
Manufacture of wood products,2013,Batteries and accumulators wastes,130
Waste management,2013,Batteries and accumulators wastes,0
"Manufacture of chemicals, plastics and pharmaceuticals",2013,Batteries and accumulators wastes,651
Manufacture of food and beverage products,2013,Animal and mixed food waste,100518
"Agriculture, forestry and fishing",2013,Animal and mixed food waste,1848
Water industry,2013,Animal and mixed food waste,191
Mining and quarrying,2013,Animal and mixed food waste,1970
Other manufacturing,2013,Animal and mixed food waste,33
Commerce,2013,Animal and mixed food waste,26551
Power industry,2013,Animal and mixed food waste,16
Manufacture of wood products,2013,Animal and mixed food waste,16
Waste management,2013,Animal and mixed food waste,16
"Manufacture of chemicals, plastics and pharmaceuticals",2013,Animal and mixed food waste,2142
Manufacture of food and beverage products,2013,Vegetal wastes,378726
"Agriculture, forestry and fishing",2013,Vegetal wastes,18263
Water industry,2013,Vegetal wastes,1375
Mining and quarrying,2013,Vegetal wastes,1397
Other manufacturing,2013,Vegetal wastes,1422
Commerce,2013,Vegetal wastes,102467
Power industry,2013,Vegetal wastes,1375
Manufacture of wood products,2013,Vegetal wastes,1375
Waste management,2013,Vegetal wastes,1375
"Manufacture of chemicals, plastics and pharmaceuticals",2013,Vegetal wastes,4788
Manufacture of food and beverage products,2013,"Animal faeces, urine and manure",0
"Agriculture, forestry and fishing",2013,"Animal faeces, urine and manure",139271
Water industry,2013,"Animal faeces, urine and manure",0
Mining and quarrying,2013,"Animal faeces, urine and manure",0
Other manufacturing,2013,"Animal faeces, urine and manure",0
Commerce,2013,"Animal faeces, urine and manure",28
Power industry,2013,"Animal faeces, urine and manure",0
Manufacture of wood products,2013,"Animal faeces, urine and manure",0
Waste management,2013,"Animal faeces, urine and manure",0
"Manufacture of chemicals, plastics and pharmaceuticals",2013,"Animal faeces, urine and manure",52
Manufacture of food and beverage products,2013,Household and similar wastes,8006
"Agriculture, forestry and fishing",2013,Household and similar wastes,1847
Water industry,2013,Household and similar wastes,2133
Mining and quarrying,2013,Household and similar wastes,22086
Other manufacturing,2013,Household and similar wastes,13510
Commerce,2013,Household and similar wastes,659451
Power industry,2013,Household and similar wastes,2051
Manufacture of wood products,2013,Household and similar wastes,1719
Waste management,2013,Household and similar wastes,1687
"Manufacture of chemicals, plastics and pharmaceuticals",2013,Household and similar wastes,2398
Manufacture of food and beverage products,2013,Mixed and undifferentiated materials,23466
"Agriculture, forestry and fishing",2013,Mixed and undifferentiated materials,5962
Water industry,2013,Mixed and undifferentiated materials,20067
Mining and quarrying,2013,Mixed and undifferentiated materials,28975
Other manufacturing,2013,Mixed and undifferentiated materials,28486
Commerce,2013,Mixed and undifferentiated materials,19584
Power industry,2013,Mixed and undifferentiated materials,992
Manufacture of wood products,2013,Mixed and undifferentiated materials,1381
Waste management,2013,Mixed and undifferentiated materials,851
"Manufacture of chemicals, plastics and pharmaceuticals",2013,Mixed and undifferentiated materials,3263
Manufacture of food and beverage products,2013,Sorting residues,2
"Agriculture, forestry and fishing",2013,Sorting residues,0
Water industry,2013,Sorting residues,5859
Mining and quarrying,2013,Sorting residues,0
Other manufacturing,2013,Sorting residues,63
Commerce,2013,Sorting residues,346
Power industry,2013,Sorting residues,0
Manufacture of wood products,2013,Sorting residues,0
Waste management,2013,Sorting residues,0
"Manufacture of chemicals, plastics and pharmaceuticals",2013,Sorting residues,0
Manufacture of food and beverage products,2013,Common sludges,6328
"Agriculture, forestry and fishing",2013,Common sludges,0
Water industry,2013,Common sludges,92655
Mining and quarrying,2013,Common sludges,22
Other manufacturing,2013,Common sludges,2584
Commerce,2013,Common sludges,2950
Power industry,2013,Common sludges,0
Manufacture of wood products,2013,Common sludges,49
Waste management,2013,Common sludges,0
"Manufacture of chemicals, plastics and pharmaceuticals",2013,Common sludges,109
Manufacture of food and beverage products,2013,Mineral waste from construction and demolition,2000
"Agriculture, forestry and fishing",2013,Mineral waste from construction and demolition,200
Water industry,2013,Mineral waste from construction and demolition,13
Mining and quarrying,2013,Mineral waste from construction and demolition,711
Other manufacturing,2013,Mineral waste from construction and demolition,5193
Commerce,2013,Mineral waste from construction and demolition,8875
Power industry,2013,Mineral waste from construction and demolition,274
Manufacture of wood products,2013,Mineral waste from construction and demolition,0
Waste management,2013,Mineral waste from construction and demolition,0
"Manufacture of chemicals, plastics and pharmaceuticals",2013,Mineral waste from construction and demolition,282
Manufacture of food and beverage products,2013,Other mineral wastes,8940
"Agriculture, forestry and fishing",2013,Other mineral wastes,5645
Water industry,2013,Other mineral wastes,2458
Mining and quarrying,2013,Other mineral wastes,108419
Other manufacturing,2013,Other mineral wastes,25617
Commerce,2013,Other mineral wastes,14820
Power industry,2013,Other mineral wastes,237
Manufacture of wood products,2013,Other mineral wastes,4
Waste management,2013,Other mineral wastes,4
"Manufacture of chemicals, plastics and pharmaceuticals",2013,Other mineral wastes,58
Manufacture of food and beverage products,2013,Combustion wastes,0
"Agriculture, forestry and fishing",2013,Combustion wastes,0
Water industry,2013,Combustion wastes,0
Mining and quarrying,2013,Combustion wastes,6
Other manufacturing,2013,Combustion wastes,1115
Commerce,2013,Combustion wastes,1043
Power industry,2013,Combustion wastes,451514
Manufacture of wood products,2013,Combustion wastes,0
Waste management,2013,Combustion wastes,0
"Manufacture of chemicals, plastics and pharmaceuticals",2013,Combustion wastes,6
Manufacture of food and beverage products,2013,Soils,5033
"Agriculture, forestry and fishing",2013,Soils,6210
Water industry,2013,Soils,5033
Mining and quarrying,2013,Soils,5077
Other manufacturing,2013,Soils,8020
Commerce,2013,Soils,74220
Power industry,2013,Soils,5033
Manufacture of wood products,2013,Soils,5033
Waste management,2013,Soils,5033
"Manufacture of chemicals, plastics and pharmaceuticals",2013,Soils,5033
Manufacture of food and beverage products,2013,Dredging spoils,0
"Agriculture, forestry and fishing",2013,Dredging spoils,0
Water industry,2013,Dredging spoils,1267
Mining and quarrying,2013,Dredging spoils,0
Other manufacturing,2013,Dredging spoils,0
Commerce,2013,Dredging spoils,0
Power industry,2013,Dredging spoils,0
Manufacture of wood products,2013,Dredging spoils,0
Waste management,2013,Dredging spoils,0
"Manufacture of chemicals, plastics and pharmaceuticals",2013,Dredging spoils,0
Manufacture of food and beverage products,2013,Mineral wastes from waste treatment and stabilised wastes,0
"Agriculture, forestry and fishing",2013,Mineral wastes from waste treatment and stabilised wastes,0
Water industry,2013,Mineral wastes from waste treatment and stabilised wastes,1575
Mining and quarrying,2013,Mineral wastes from waste treatment and stabilised wastes,75173
Other manufacturing,2013,Mineral wastes from waste treatment and stabilised wastes,0
Commerce,2013,Mineral wastes from waste treatment and stabilised wastes,47
Power industry,2013,Mineral wastes from waste treatment and stabilised wastes,24
Manufacture of wood products,2013,Mineral wastes from waste treatment and stabilised wastes,448
Waste management,2013,Mineral wastes from waste treatment and stabilised wastes,0
"Manufacture of chemicals, plastics and pharmaceuticals",2013,Mineral wastes from waste treatment and stabilised wastes,0
Manufacture of food and beverage products,2014,Spent solvents,14
"Agriculture, forestry and fishing",2014,Spent solvents,14
Water industry,2014,Spent solvents,14
Mining and quarrying,2014,Spent solvents,3583
Other manufacturing,2014,Spent solvents,18
Commerce,2014,Spent solvents,124
Power industry,2014,Spent solvents,14
Manufacture of wood products,2014,Spent solvents,14
Waste management,2014,Spent solvents,14
"Manufacture of chemicals, plastics and pharmaceuticals",2014,Spent solvents,56893
Manufacture of food and beverage products,2014,"Acid, alkaline or saline wastes",1
"Agriculture, forestry and fishing",2014,"Acid, alkaline or saline wastes",1
Water industry,2014,"Acid, alkaline or saline wastes",1
Mining and quarrying,2014,"Acid, alkaline or saline wastes",5413
Other manufacturing,2014,"Acid, alkaline or saline wastes",3452
Commerce,2014,"Acid, alkaline or saline wastes",11
Power industry,2014,"Acid, alkaline or saline wastes",1
Manufacture of wood products,2014,"Acid, alkaline or saline wastes",1
Waste management,2014,"Acid, alkaline or saline wastes",1
"Manufacture of chemicals, plastics and pharmaceuticals",2014,"Acid, alkaline or saline wastes",3123
Manufacture of food and beverage products,2014,Used oils,52
"Agriculture, forestry and fishing",2014,Used oils,5111
Water industry,2014,Used oils,14
Mining and quarrying,2014,Used oils,18061
Other manufacturing,2014,Used oils,8757
Commerce,2014,Used oils,32060
Power industry,2014,Used oils,581
Manufacture of wood products,2014,Used oils,33
Waste management,2014,Used oils,1
"Manufacture of chemicals, plastics and pharmaceuticals",2014,Used oils,2133
Manufacture of food and beverage products,2014,Chemical wastes,119
"Agriculture, forestry and fishing",2014,Chemical wastes,33052
Water industry,2014,Chemical wastes,258
Mining and quarrying,2014,Chemical wastes,32277
Other manufacturing,2014,Chemical wastes,5043
Commerce,2014,Chemical wastes,22457
Power industry,2014,Chemical wastes,609
Manufacture of wood products,2014,Chemical wastes,615
Waste management,2014,Chemical wastes,85
"Manufacture of chemicals, plastics and pharmaceuticals",2014,Chemical wastes,19456
Manufacture of food and beverage products,2014,Industrial effluent sludges,1
"Agriculture, forestry and fishing",2014,Industrial effluent sludges,49
Water industry,2014,Industrial effluent sludges,23
Mining and quarrying,2014,Industrial effluent sludges,58605
Other manufacturing,2014,Industrial effluent sludges,6219
Commerce,2014,Industrial effluent sludges,1427
Power industry,2014,Industrial effluent sludges,161
Manufacture of wood products,2014,Industrial effluent sludges,1740
Waste management,2014,Industrial effluent sludges,0
"Manufacture of chemicals, plastics and pharmaceuticals",2014,Industrial effluent sludges,901
Manufacture of food and beverage products,2014,Sludges and liquid wastes from waste treatment,0
"Agriculture, forestry and fishing",2014,Sludges and liquid wastes from waste treatment,0
Water industry,2014,Sludges and liquid wastes from waste treatment,0
