region,year,count
South Lanarkshire,2017,318170
West Lothian,2017,181310
West Dunbartonshire,2017,89610
City of Edinburgh,2017,513210
Argyll and Bute,2017,86810
Dumfries and Galloway,2017,149200
Clackmannanshire,2017,51450
Aberdeen City,2017,228800
Angus,2017,116280
Aberdeenshire,2017,261800
Falkirk,2017,160130
East Renfrewshire,2017,94760
Inverclyde,2017,78760
Highland,2017,235180
East Ayrshire,2017,121940
Dundee City,2017,148710
East Lothian,2017,104840
East Dunbartonshire,2017,108130
City of Edinburgh,2018,518500
Renfrewshire,2018,177790
Argyll and Bute,2018,86260
West Lothian,2018,182140
West Dunbartonshire,2018,89130
Stirling,2018,94330
South Lanarkshire,2018,319020
Aberdeenshire,2018,261470
Aberdeen City,2018,227560
Glasgow City,2018,626410
Perth and Kinross,2018,151290
North Lanarkshire,2018,340180
Dundee City,2018,148750
Angus,2018,116040
Fife,2018,371910
East Dunbartonshire,2018,108330
Outer Hebrides,2018,26830
East Renfrewshire,2018,95170
Highland,2018,235540
Falkirk,2018,160340
Dumfries and Galloway,2018,148790
Clackmannanshire,2018,51400
East Lothian,2018,105790
East Ayrshire,2018,121840
Scottish Borders,2018,115270
Orkney Islands,2018,22190
South Ayrshire,2018,112550
Shetland Islands,2018,22990
Midlothian,2018,91340
Inverclyde,2018,78150
North Ayrshire,2018,135280
Moray,2018,95520
North Ayrshire,2019,134740
North Lanarkshire,2019,341370
Outer Hebrides,2019,26720
Perth and Kinross,2019,151950
Orkney Islands,2019,22270
Inverclyde,2019,77800
Highland,2019,235830
Moray,2019,95820
Midlothian,2019,92460
Stirling,2019,94210
South Lanarkshire,2019,320530
West Lothian,2019,183100
West Dunbartonshire,2019,88930
Scottish Borders,2019,115510
Renfrewshire,2019,179100
South Ayrshire,2019,112610
Shetland Islands,2019,22920
City of Edinburgh,2019,524930
Argyll and Bute,2019,85870
Dumfries and Galloway,2019,148860
Clackmannanshire,2019,51540
Aberdeen City,2019,228670
Angus,2019,116200
Aberdeenshire,2019,261210
Falkirk,2019,160890
East Renfrewshire,2019,95530
Glasgow City,2019,633120
Fife,2019,373550
East Ayrshire,2019,122010
Dundee City,2019,149320
East Lothian,2019,107090
East Dunbartonshire,2019,108640
