region,year,material,tonnes
Aberdeen City,2011,Chemical wastes,26950
Scottish Borders,2011,Chemical wastes,121
West Dunbartonshire,2011,Chemical wastes,178
Clackmannanshire,2011,Chemical wastes,300
Moray,2011,Chemical wastes,1283
West Lothian,2011,Chemical wastes,2894
Dundee City,2011,Chemical wastes,514
Unknown,2011,Chemical wastes,30729
Falkirk,2011,Industrial effluent sludges,6619
South Ayrshire,2011,Industrial effluent sludges,25
Aberdeenshire,2011,Industrial effluent sludges,7755
Renfrewshire,2011,Industrial effluent sludges,2039
East Renfrewshire,2011,Industrial effluent sludges,16
Fife,2011,Industrial effluent sludges,84
City of Edinburgh,2011,Industrial effluent sludges,30
East Dunbartonshire,2011,Industrial effluent sludges,16
North Ayrshire,2011,Industrial effluent sludges,954
Offshore,2011,Industrial effluent sludges,22629
Glasgow City,2011,Industrial effluent sludges,767
North Lanarkshire,2011,Industrial effluent sludges,65
East Lothian,2011,Industrial effluent sludges,22
Argyll and Bute,2011,Industrial effluent sludges,10
Angus,2011,Industrial effluent sludges,25
Dumfries and Galloway,2011,Industrial effluent sludges,30
Shetland Islands,2011,Industrial effluent sludges,9
Stirling,2011,Industrial effluent sludges,521
South Lanarkshire,2011,Industrial effluent sludges,90
Perth and Kinross,2011,Industrial effluent sludges,22
East Ayrshire,2011,Industrial effluent sludges,836
Outer Hebrides,2011,Industrial effluent sludges,3
Inverclyde,2011,Industrial effluent sludges,1
Highland,2011,Industrial effluent sludges,281
Midlothian,2011,Industrial effluent sludges,0
Orkney Islands,2011,Industrial effluent sludges,0
Aberdeen City,2011,Industrial effluent sludges,7392
Scottish Borders,2011,Industrial effluent sludges,9
West Dunbartonshire,2011,Industrial effluent sludges,19
Clackmannanshire,2011,Industrial effluent sludges,0
Moray,2011,Industrial effluent sludges,43
West Lothian,2011,Industrial effluent sludges,166
Dundee City,2011,Industrial effluent sludges,4
Unknown,2011,Industrial effluent sludges,0
Falkirk,2011,Sludges and liquid wastes from waste treatment,0
South Ayrshire,2011,Sludges and liquid wastes from waste treatment,0
Aberdeenshire,2011,Sludges and liquid wastes from waste treatment,0
Renfrewshire,2011,Sludges and liquid wastes from waste treatment,0
East Renfrewshire,2011,Sludges and liquid wastes from waste treatment,0
Fife,2011,Sludges and liquid wastes from waste treatment,10
City of Edinburgh,2011,Sludges and liquid wastes from waste treatment,3
East Dunbartonshire,2011,Sludges and liquid wastes from waste treatment,0
North Ayrshire,2011,Sludges and liquid wastes from waste treatment,0
Offshore,2011,Sludges and liquid wastes from waste treatment,0
Glasgow City,2011,Sludges and liquid wastes from waste treatment,161
North Lanarkshire,2011,Sludges and liquid wastes from waste treatment,0
East Lothian,2011,Sludges and liquid wastes from waste treatment,0
Argyll and Bute,2011,Sludges and liquid wastes from waste treatment,0
Angus,2011,Sludges and liquid wastes from waste treatment,0
Dumfries and Galloway,2011,Sludges and liquid wastes from waste treatment,0
Shetland Islands,2011,Sludges and liquid wastes from waste treatment,0
Stirling,2011,Sludges and liquid wastes from waste treatment,0
South Lanarkshire,2011,Sludges and liquid wastes from waste treatment,0
Perth and Kinross,2011,Sludges and liquid wastes from waste treatment,0
East Ayrshire,2011,Sludges and liquid wastes from waste treatment,3
Outer Hebrides,2011,Sludges and liquid wastes from waste treatment,0
Inverclyde,2011,Sludges and liquid wastes from waste treatment,0
Highland,2011,Sludges and liquid wastes from waste treatment,0
Midlothian,2011,Sludges and liquid wastes from waste treatment,0
Orkney Islands,2011,Sludges and liquid wastes from waste treatment,0
Aberdeen City,2011,Sludges and liquid wastes from waste treatment,0
Scottish Borders,2011,Sludges and liquid wastes from waste treatment,0
West Dunbartonshire,2011,Sludges and liquid wastes from waste treatment,0
Clackmannanshire,2011,Sludges and liquid wastes from waste treatment,0
Moray,2011,Sludges and liquid wastes from waste treatment,0
West Lothian,2011,Sludges and liquid wastes from waste treatment,0
Dundee City,2011,Sludges and liquid wastes from waste treatment,0
Unknown,2011,Sludges and liquid wastes from waste treatment,0
Falkirk,2011,Health care and biological wastes,65
South Ayrshire,2011,Health care and biological wastes,32
Aberdeenshire,2011,Health care and biological wastes,2378
Renfrewshire,2011,Health care and biological wastes,241
East Renfrewshire,2011,Health care and biological wastes,0
Fife,2011,Health care and biological wastes,788
City of Edinburgh,2011,Health care and biological wastes,875
East Dunbartonshire,2011,Health care and biological wastes,10
North Ayrshire,2011,Health care and biological wastes,485
Offshore,2011,Health care and biological wastes,4
Glasgow City,2011,Health care and biological wastes,261
North Lanarkshire,2011,Health care and biological wastes,17952
East Lothian,2011,Health care and biological wastes,450
Argyll and Bute,2011,Health care and biological wastes,7
Angus,2011,Health care and biological wastes,492
Dumfries and Galloway,2011,Health care and biological wastes,4
Shetland Islands,2011,Health care and biological wastes,25
Stirling,2011,Health care and biological wastes,3
South Lanarkshire,2011,Health care and biological wastes,666
Perth and Kinross,2011,Health care and biological wastes,568
East Ayrshire,2011,Health care and biological wastes,86
Outer Hebrides,2011,Health care and biological wastes,45
Inverclyde,2011,Health care and biological wastes,180
Highland,2011,Health care and biological wastes,2247
Midlothian,2011,Health care and biological wastes,88
Orkney Islands,2011,Health care and biological wastes,66
Aberdeen City,2011,Health care and biological wastes,126
Scottish Borders,2011,Health care and biological wastes,337
West Dunbartonshire,2011,Health care and biological wastes,117
Clackmannanshire,2011,Health care and biological wastes,0
Moray,2011,Health care and biological wastes,9
West Lothian,2011,Health care and biological wastes,372
Dundee City,2011,Health care and biological wastes,2179
Unknown,2011,Health care and biological wastes,0
Falkirk,2011,"Metallic wastes, ferrous",0
South Ayrshire,2011,"Metallic wastes, ferrous",34877
