region,year,material,tonnes
West Dunbartonshire,2011,Other mineral wastes,0
Clackmannanshire,2011,Other mineral wastes,706
Moray,2011,Other mineral wastes,241
West Lothian,2011,Other mineral wastes,3315
Dundee City,2011,Other mineral wastes,155
Unknown,2011,Other mineral wastes,0
Falkirk,2011,Combustion wastes,1065
South Ayrshire,2011,Combustion wastes,0
Aberdeenshire,2011,Combustion wastes,178
Renfrewshire,2011,Combustion wastes,78
East Renfrewshire,2011,Combustion wastes,0
Fife,2011,Combustion wastes,486432
City of Edinburgh,2011,Combustion wastes,167
East Dunbartonshire,2011,Combustion wastes,19
North Ayrshire,2011,Combustion wastes,56
Offshore,2011,Combustion wastes,0
Glasgow City,2011,Combustion wastes,165
North Lanarkshire,2011,Combustion wastes,1011
East Lothian,2011,Combustion wastes,50145
Argyll and Bute,2011,Combustion wastes,0
Angus,2011,Combustion wastes,17
Dumfries and Galloway,2011,Combustion wastes,5
Shetland Islands,2011,Combustion wastes,0
Stirling,2011,Combustion wastes,10
South Lanarkshire,2011,Combustion wastes,2
Perth and Kinross,2011,Combustion wastes,0
East Ayrshire,2011,Combustion wastes,0
Outer Hebrides,2011,Combustion wastes,1
Inverclyde,2011,Combustion wastes,0
Highland,2011,Combustion wastes,993
Midlothian,2011,Combustion wastes,5
Orkney Islands,2011,Combustion wastes,0
Aberdeen City,2011,Combustion wastes,0
Scottish Borders,2011,Combustion wastes,6
West Dunbartonshire,2011,Combustion wastes,0
Clackmannanshire,2011,Combustion wastes,23
Moray,2011,Combustion wastes,0
West Lothian,2011,Combustion wastes,0
Dundee City,2011,Combustion wastes,2379
Unknown,2011,Combustion wastes,0
Falkirk,2011,Soils,13639
South Ayrshire,2011,Soils,328
Aberdeenshire,2011,Soils,898
Renfrewshire,2011,Soils,227
East Renfrewshire,2011,Soils,248
Fife,2011,Soils,11670
City of Edinburgh,2011,Soils,1009
East Dunbartonshire,2011,Soils,593
North Ayrshire,2011,Soils,2887
Offshore,2011,Soils,1
Glasgow City,2011,Soils,2164
North Lanarkshire,2011,Soils,1566
East Lothian,2011,Soils,952
Argyll and Bute,2011,Soils,373
Angus,2011,Soils,4139
Dumfries and Galloway,2011,Soils,480
Shetland Islands,2011,Soils,0
Stirling,2011,Soils,7422
South Lanarkshire,2011,Soils,1120
Perth and Kinross,2011,Soils,691
East Ayrshire,2011,Soils,260
Outer Hebrides,2011,Soils,4718
Inverclyde,2011,Soils,210
Highland,2011,Soils,6243
Midlothian,2011,Soils,299
Orkney Islands,2011,Soils,0
Aberdeen City,2011,Soils,327
Scottish Borders,2011,Soils,28606
West Dunbartonshire,2011,Soils,0
Clackmannanshire,2011,Soils,544
Moray,2011,Soils,608
West Lothian,2011,Soils,412
Dundee City,2011,Soils,274
Unknown,2011,Soils,0
Falkirk,2011,Dredging spoils,75
South Ayrshire,2011,Dredging spoils,0
Aberdeenshire,2011,Dredging spoils,0
Renfrewshire,2011,Dredging spoils,2
East Renfrewshire,2011,Dredging spoils,0
Fife,2011,Dredging spoils,7
City of Edinburgh,2011,Dredging spoils,37
East Dunbartonshire,2011,Dredging spoils,6
North Ayrshire,2011,Dredging spoils,0
Offshore,2011,Dredging spoils,0
Glasgow City,2011,Dredging spoils,103
North Lanarkshire,2011,Dredging spoils,3
East Lothian,2011,Dredging spoils,0
Argyll and Bute,2011,Dredging spoils,3
Angus,2011,Dredging spoils,4
Dumfries and Galloway,2011,Dredging spoils,0
Shetland Islands,2011,Dredging spoils,0
Stirling,2011,Dredging spoils,7
South Lanarkshire,2011,Dredging spoils,6
Perth and Kinross,2011,Dredging spoils,1
East Ayrshire,2011,Dredging spoils,4
Outer Hebrides,2011,Dredging spoils,0
Inverclyde,2011,Dredging spoils,0
Highland,2011,Dredging spoils,0
Midlothian,2011,Dredging spoils,3
Orkney Islands,2011,Dredging spoils,0
Aberdeen City,2011,Dredging spoils,3
Scottish Borders,2011,Dredging spoils,7
West Dunbartonshire,2011,Dredging spoils,0
Clackmannanshire,2011,Dredging spoils,0
Moray,2011,Dredging spoils,0
West Lothian,2011,Dredging spoils,21
Dundee City,2011,Dredging spoils,2
Unknown,2011,Dredging spoils,0
Falkirk,2011,Mineral wastes from waste treatment and stabilised wastes,0
South Ayrshire,2011,Mineral wastes from waste treatment and stabilised wastes,0
Aberdeenshire,2011,Mineral wastes from waste treatment and stabilised wastes,0
Renfrewshire,2011,Mineral wastes from waste treatment and stabilised wastes,0
East Renfrewshire,2011,Mineral wastes from waste treatment and stabilised wastes,0
Fife,2011,Mineral wastes from waste treatment and stabilised wastes,0
City of Edinburgh,2011,Mineral wastes from waste treatment and stabilised wastes,0
East Dunbartonshire,2011,Mineral wastes from waste treatment and stabilised wastes,0
North Ayrshire,2011,Mineral wastes from waste treatment and stabilised wastes,0
Offshore,2011,Mineral wastes from waste treatment and stabilised wastes,0
Glasgow City,2011,Mineral wastes from waste treatment and stabilised wastes,0
North Lanarkshire,2011,Mineral wastes from waste treatment and stabilised wastes,55
East Lothian,2011,Mineral wastes from waste treatment and stabilised wastes,0
Argyll and Bute,2011,Mineral wastes from waste treatment and stabilised wastes,0
Angus,2011,Mineral wastes from waste treatment and stabilised wastes,0
Dumfries and Galloway,2011,Mineral wastes from waste treatment and stabilised wastes,0
Shetland Islands,2011,Mineral wastes from waste treatment and stabilised wastes,0
Stirling,2011,Mineral wastes from waste treatment and stabilised wastes,942
South Lanarkshire,2011,Mineral wastes from waste treatment and stabilised wastes,13
Perth and Kinross,2011,Mineral wastes from waste treatment and stabilised wastes,0
East Ayrshire,2011,Mineral wastes from waste treatment and stabilised wastes,0
Outer Hebrides,2011,Mineral wastes from waste treatment and stabilised wastes,0
Inverclyde,2011,Mineral wastes from waste treatment and stabilised wastes,0
Highland,2011,Mineral wastes from waste treatment and stabilised wastes,0
Midlothian,2011,Mineral wastes from waste treatment and stabilised wastes,0
Orkney Islands,2011,Mineral wastes from waste treatment and stabilised wastes,0
Aberdeen City,2011,Mineral wastes from waste treatment and stabilised wastes,0
Scottish Borders,2011,Mineral wastes from waste treatment and stabilised wastes,39
West Dunbartonshire,2011,Mineral wastes from waste treatment and stabilised wastes,0
Clackmannanshire,2011,Mineral wastes from waste treatment and stabilised wastes,0
Moray,2011,Mineral wastes from waste treatment and stabilised wastes,0
West Lothian,2011,Mineral wastes from waste treatment and stabilised wastes,12
Dundee City,2011,Mineral wastes from waste treatment and stabilised wastes,0
Unknown,2011,Mineral wastes from waste treatment and stabilised wastes,0
Falkirk,2012,Spent solvents,781
South Ayrshire,2012,Spent solvents,0
Aberdeenshire,2012,Spent solvents,1031
Renfrewshire,2012,Spent solvents,59
East Renfrewshire,2012,Spent solvents,0
Fife,2012,Spent solvents,212
City of Edinburgh,2012,Spent solvents,6468
East Dunbartonshire,2012,Spent solvents,20
North Ayrshire,2012,Spent solvents,9
Offshore,2012,Spent solvents,356
Glasgow City,2012,Spent solvents,179
North Lanarkshire,2012,Spent solvents,18
East Lothian,2012,Spent solvents,15
Argyll and Bute,2012,Spent solvents,24
Angus,2012,Spent solvents,36
Dumfries and Galloway,2012,Spent solvents,16
Shetland Islands,2012,Spent solvents,9
Stirling,2012,Spent solvents,2
South Lanarkshire,2012,Spent solvents,75
Perth and Kinross,2012,Spent solvents,17
East Ayrshire,2012,Spent solvents,9
Outer Hebrides,2012,Spent solvents,0
Inverclyde,2012,Spent solvents,37
Highland,2012,Spent solvents,4
Midlothian,2012,Spent solvents,5
Orkney Islands,2012,Spent solvents,0
Aberdeen City,2012,Spent solvents,1892
Scottish Borders,2012,Spent solvents,0
West Dunbartonshire,2012,Spent solvents,0
Clackmannanshire,2012,Spent solvents,1
Moray,2012,Spent solvents,0
West Lothian,2012,Spent solvents,3
Dundee City,2012,Spent solvents,9
Unknown,2012,Spent solvents,41979
Falkirk,2012,"Acid, alkaline or saline wastes",313
South Ayrshire,2012,"Acid, alkaline or saline wastes",0
Aberdeenshire,2012,"Acid, alkaline or saline wastes",174
Renfrewshire,2012,"Acid, alkaline or saline wastes",139
East Renfrewshire,2012,"Acid, alkaline or saline wastes",0
Fife,2012,"Acid, alkaline or saline wastes",75
City of Edinburgh,2012,"Acid, alkaline or saline wastes",15
East Dunbartonshire,2012,"Acid, alkaline or saline wastes",6
North Ayrshire,2012,"Acid, alkaline or saline wastes",19
Offshore,2012,"Acid, alkaline or saline wastes",19
Glasgow City,2012,"Acid, alkaline or saline wastes",968
North Lanarkshire,2012,"Acid, alkaline or saline wastes",1597
East Lothian,2012,"Acid, alkaline or saline wastes",0
Argyll and Bute,2012,"Acid, alkaline or saline wastes",162
Angus,2012,"Acid, alkaline or saline wastes",308
Dumfries and Galloway,2012,"Acid, alkaline or saline wastes",67
Shetland Islands,2012,"Acid, alkaline or saline wastes",1
Stirling,2012,"Acid, alkaline or saline wastes",0
South Lanarkshire,2012,"Acid, alkaline or saline wastes",73
Perth and Kinross,2012,"Acid, alkaline or saline wastes",270
East Ayrshire,2012,"Acid, alkaline or saline wastes",5
Outer Hebrides,2012,"Acid, alkaline or saline wastes",0
Inverclyde,2012,"Acid, alkaline or saline wastes",0
Highland,2012,"Acid, alkaline or saline wastes",17
Midlothian,2012,"Acid, alkaline or saline wastes",0
Orkney Islands,2012,"Acid, alkaline or saline wastes",0
Aberdeen City,2012,"Acid, alkaline or saline wastes",536
Scottish Borders,2012,"Acid, alkaline or saline wastes",25
West Dunbartonshire,2012,"Acid, alkaline or saline wastes",1
Clackmannanshire,2012,"Acid, alkaline or saline wastes",0
Moray,2012,"Acid, alkaline or saline wastes",7
West Lothian,2012,"Acid, alkaline or saline wastes",55
Dundee City,2012,"Acid, alkaline or saline wastes",7
Unknown,2012,"Acid, alkaline or saline wastes",0
Falkirk,2012,Used oils,1373
South Ayrshire,2012,Used oils,219
Aberdeenshire,2012,Used oils,24599
Renfrewshire,2012,Used oils,1684
East Renfrewshire,2012,Used oils,71
Fife,2012,Used oils,27151
City of Edinburgh,2012,Used oils,1146
East Dunbartonshire,2012,Used oils,31
North Ayrshire,2012,Used oils,217
Offshore,2012,Used oils,1784
Glasgow City,2012,Used oils,2891
North Lanarkshire,2012,Used oils,1894
East Lothian,2012,Used oils,108
Argyll and Bute,2012,Used oils,5826
Angus,2012,Used oils,1272
Dumfries and Galloway,2012,Used oils,153
Shetland Islands,2012,Used oils,2697
Stirling,2012,Used oils,309
South Lanarkshire,2012,Used oils,7351
Perth and Kinross,2012,Used oils,259
East Ayrshire,2012,Used oils,773
Outer Hebrides,2012,Used oils,161
Inverclyde,2012,Used oils,202
Highland,2012,Used oils,1876
Midlothian,2012,Used oils,61
Orkney Islands,2012,Used oils,31
Aberdeen City,2012,Used oils,16172
Scottish Borders,2012,Used oils,141
West Dunbartonshire,2012,Used oils,115
Clackmannanshire,2012,Used oils,29
Moray,2012,Used oils,281
West Lothian,2012,Used oils,583
Dundee City,2012,Used oils,260
Unknown,2012,Used oils,0
Falkirk,2012,Chemical wastes,5071
South Ayrshire,2012,Chemical wastes,278
Aberdeenshire,2012,Chemical wastes,10785
Renfrewshire,2012,Chemical wastes,1103
East Renfrewshire,2012,Chemical wastes,82
Fife,2012,Chemical wastes,2362
City of Edinburgh,2012,Chemical wastes,4175
East Dunbartonshire,2012,Chemical wastes,188
North Ayrshire,2012,Chemical wastes,535
Offshore,2012,Chemical wastes,4397
Glasgow City,2012,Chemical wastes,3790
North Lanarkshire,2012,Chemical wastes,787
East Lothian,2012,Chemical wastes,163
Argyll and Bute,2012,Chemical wastes,439
Angus,2012,Chemical wastes,3039
Dumfries and Galloway,2012,Chemical wastes,2466
Shetland Islands,2012,Chemical wastes,1960
Stirling,2012,Chemical wastes,638
South Lanarkshire,2012,Chemical wastes,783
Perth and Kinross,2012,Chemical wastes,805
East Ayrshire,2012,Chemical wastes,120
Outer Hebrides,2012,Chemical wastes,181
Inverclyde,2012,Chemical wastes,457
Highland,2012,Chemical wastes,3860
Midlothian,2012,Chemical wastes,197
Orkney Islands,2012,Chemical wastes,6
Aberdeen City,2012,Chemical wastes,24608
Scottish Borders,2012,Chemical wastes,73
West Dunbartonshire,2012,Chemical wastes,147
Clackmannanshire,2012,Chemical wastes,28
Moray,2012,Chemical wastes,376
West Lothian,2012,Chemical wastes,924
Dundee City,2012,Chemical wastes,501
Unknown,2012,Chemical wastes,29917
Falkirk,2012,Industrial effluent sludges,4633
South Ayrshire,2012,Industrial effluent sludges,31
Aberdeenshire,2012,Industrial effluent sludges,5137
Renfrewshire,2012,Industrial effluent sludges,2908
East Renfrewshire,2012,Industrial effluent sludges,10
Fife,2012,Industrial effluent sludges,93
City of Edinburgh,2012,Industrial effluent sludges,323
East Dunbartonshire,2012,Industrial effluent sludges,4
North Ayrshire,2012,Industrial effluent sludges,1480
Offshore,2012,Industrial effluent sludges,26763
Glasgow City,2012,Industrial effluent sludges,227
North Lanarkshire,2012,Industrial effluent sludges,47
East Lothian,2012,Industrial effluent sludges,14
Argyll and Bute,2012,Industrial effluent sludges,8
Angus,2012,Industrial effluent sludges,17
Dumfries and Galloway,2012,Industrial effluent sludges,184
Shetland Islands,2012,Industrial effluent sludges,11
Stirling,2012,Industrial effluent sludges,104
South Lanarkshire,2012,Industrial effluent sludges,60
Perth and Kinross,2012,Industrial effluent sludges,37
East Ayrshire,2012,Industrial effluent sludges,1211
Outer Hebrides,2012,Industrial effluent sludges,2
Inverclyde,2012,Industrial effluent sludges,5
Highland,2012,Industrial effluent sludges,158
Midlothian,2012,Industrial effluent sludges,0
Orkney Islands,2012,Industrial effluent sludges,0
Aberdeen City,2012,Industrial effluent sludges,13083
Scottish Borders,2012,Industrial effluent sludges,98
West Dunbartonshire,2012,Industrial effluent sludges,1325
Clackmannanshire,2012,Industrial effluent sludges,0
Moray,2012,Industrial effluent sludges,19
West Lothian,2012,Industrial effluent sludges,290
Dundee City,2012,Industrial effluent sludges,11
Unknown,2012,Industrial effluent sludges,0
Falkirk,2012,Sludges and liquid wastes from waste treatment,0
South Ayrshire,2012,Sludges and liquid wastes from waste treatment,0
Aberdeenshire,2012,Sludges and liquid wastes from waste treatment,0
Renfrewshire,2012,Sludges and liquid wastes from waste treatment,0
East Renfrewshire,2012,Sludges and liquid wastes from waste treatment,557
Fife,2012,Sludges and liquid wastes from waste treatment,0
City of Edinburgh,2012,Sludges and liquid wastes from waste treatment,0
East Dunbartonshire,2012,Sludges and liquid wastes from waste treatment,0
North Ayrshire,2012,Sludges and liquid wastes from waste treatment,1780
Offshore,2012,Sludges and liquid wastes from waste treatment,0
Glasgow City,2012,Sludges and liquid wastes from waste treatment,0
North Lanarkshire,2012,Sludges and liquid wastes from waste treatment,0
East Lothian,2012,Sludges and liquid wastes from waste treatment,0
Argyll and Bute,2012,Sludges and liquid wastes from waste treatment,2
Angus,2012,Sludges and liquid wastes from waste treatment,0
Dumfries and Galloway,2012,Sludges and liquid wastes from waste treatment,0
Shetland Islands,2012,Sludges and liquid wastes from waste treatment,0
Stirling,2012,Sludges and liquid wastes from waste treatment,0
South Lanarkshire,2012,Sludges and liquid wastes from waste treatment,0
Perth and Kinross,2012,Sludges and liquid wastes from waste treatment,0
East Ayrshire,2012,Sludges and liquid wastes from waste treatment,5
Outer Hebrides,2012,Sludges and liquid wastes from waste treatment,0
Inverclyde,2012,Sludges and liquid wastes from waste treatment,0
Highland,2012,Sludges and liquid wastes from waste treatment,0
Midlothian,2012,Sludges and liquid wastes from waste treatment,0
Orkney Islands,2012,Sludges and liquid wastes from waste treatment,0
Aberdeen City,2012,Sludges and liquid wastes from waste treatment,4
Scottish Borders,2012,Sludges and liquid wastes from waste treatment,6
West Dunbartonshire,2012,Sludges and liquid wastes from waste treatment,0
Clackmannanshire,2012,Sludges and liquid wastes from waste treatment,0
Moray,2012,Sludges and liquid wastes from waste treatment,0
West Lothian,2012,Sludges and liquid wastes from waste treatment,0
Dundee City,2012,Sludges and liquid wastes from waste treatment,0
Unknown,2012,Sludges and liquid wastes from waste treatment,0
Falkirk,2012,Health care and biological wastes,93
South Ayrshire,2012,Health care and biological wastes,12
Aberdeenshire,2012,Health care and biological wastes,602
Renfrewshire,2012,Health care and biological wastes,215
East Renfrewshire,2012,Health care and biological wastes,6
Fife,2012,Health care and biological wastes,535
City of Edinburgh,2012,Health care and biological wastes,772
East Dunbartonshire,2012,Health care and biological wastes,48
North Ayrshire,2012,Health care and biological wastes,231
Offshore,2012,Health care and biological wastes,8
Glasgow City,2012,Health care and biological wastes,907
North Lanarkshire,2012,Health care and biological wastes,23997
East Lothian,2012,Health care and biological wastes,436
Argyll and Bute,2012,Health care and biological wastes,5
Angus,2012,Health care and biological wastes,124
Dumfries and Galloway,2012,Health care and biological wastes,11
Shetland Islands,2012,Health care and biological wastes,18
Stirling,2012,Health care and biological wastes,49
South Lanarkshire,2012,Health care and biological wastes,562
Perth and Kinross,2012,Health care and biological wastes,518
East Ayrshire,2012,Health care and biological wastes,69
Outer Hebrides,2012,Health care and biological wastes,40
Inverclyde,2012,Health care and biological wastes,178
Highland,2012,Health care and biological wastes,176
Midlothian,2012,Health care and biological wastes,689
Orkney Islands,2012,Health care and biological wastes,30
Aberdeen City,2012,Health care and biological wastes,1394
Scottish Borders,2012,Health care and biological wastes,329
West Dunbartonshire,2012,Health care and biological wastes,117
Clackmannanshire,2012,Health care and biological wastes,0
Moray,2012,Health care and biological wastes,15
West Lothian,2012,Health care and biological wastes,598
Dundee City,2012,Health care and biological wastes,4840
Unknown,2012,Health care and biological wastes,0
Falkirk,2012,"Metallic wastes, ferrous",143
South Ayrshire,2012,"Metallic wastes, ferrous",35317
Aberdeenshire,2012,"Metallic wastes, ferrous",89
Renfrewshire,2012,"Metallic wastes, ferrous",105
East Renfrewshire,2012,"Metallic wastes, ferrous",0
Fife,2012,"Metallic wastes, ferrous",4929
City of Edinburgh,2012,"Metallic wastes, ferrous",330
East Dunbartonshire,2012,"Metallic wastes, ferrous",35
North Ayrshire,2012,"Metallic wastes, ferrous",4800
Offshore,2012,"Metallic wastes, ferrous",1
Glasgow City,2012,"Metallic wastes, ferrous",61
North Lanarkshire,2012,"Metallic wastes, ferrous",26
East Lothian,2012,"Metallic wastes, ferrous",0
Argyll and Bute,2012,"Metallic wastes, ferrous",0
Angus,2012,"Metallic wastes, ferrous",292
Dumfries and Galloway,2012,"Metallic wastes, ferrous",1988
Shetland Islands,2012,"Metallic wastes, ferrous",0
Stirling,2012,"Metallic wastes, ferrous",6364
South Lanarkshire,2012,"Metallic wastes, ferrous",154
Perth and Kinross,2012,"Metallic wastes, ferrous",39
East Ayrshire,2012,"Metallic wastes, ferrous",0
Outer Hebrides,2012,"Metallic wastes, ferrous",68
Inverclyde,2012,"Metallic wastes, ferrous",0
Highland,2012,"Metallic wastes, ferrous",5295
Midlothian,2012,"Metallic wastes, ferrous",2
Orkney Islands,2012,"Metallic wastes, ferrous",0
Aberdeen City,2012,"Metallic wastes, ferrous",10006
Scottish Borders,2012,"Metallic wastes, ferrous",361
West Dunbartonshire,2012,"Metallic wastes, ferrous",0
Clackmannanshire,2012,"Metallic wastes, ferrous",0
Moray,2012,"Metallic wastes, ferrous",0
West Lothian,2012,"Metallic wastes, ferrous",8220
Dundee City,2012,"Metallic wastes, ferrous",0
Unknown,2012,"Metallic wastes, ferrous",0
Falkirk,2012,"Metallic wastes, non-ferrous",86
South Ayrshire,2012,"Metallic wastes, non-ferrous",13005
Aberdeenshire,2012,"Metallic wastes, non-ferrous",8
Renfrewshire,2012,"Metallic wastes, non-ferrous",51
East Renfrewshire,2012,"Metallic wastes, non-ferrous",0
Fife,2012,"Metallic wastes, non-ferrous",60
City of Edinburgh,2012,"Metallic wastes, non-ferrous",147
East Dunbartonshire,2012,"Metallic wastes, non-ferrous",0
North Ayrshire,2012,"Metallic wastes, non-ferrous",318
Offshore,2012,"Metallic wastes, non-ferrous",0
Glasgow City,2012,"Metallic wastes, non-ferrous",9424
North Lanarkshire,2012,"Metallic wastes, non-ferrous",115
East Lothian,2012,"Metallic wastes, non-ferrous",8
Argyll and Bute,2012,"Metallic wastes, non-ferrous",0
Angus,2012,"Metallic wastes, non-ferrous",114
Dumfries and Galloway,2012,"Metallic wastes, non-ferrous",177
Shetland Islands,2012,"Metallic wastes, non-ferrous",10
Stirling,2012,"Metallic wastes, non-ferrous",256
South Lanarkshire,2012,"Metallic wastes, non-ferrous",404
Perth and Kinross,2012,"Metallic wastes, non-ferrous",15
East Ayrshire,2012,"Metallic wastes, non-ferrous",1
Outer Hebrides,2012,"Metallic wastes, non-ferrous",7
Inverclyde,2012,"Metallic wastes, non-ferrous",21
Highland,2012,"Metallic wastes, non-ferrous",70
Midlothian,2012,"Metallic wastes, non-ferrous",27
Orkney Islands,2012,"Metallic wastes, non-ferrous",0
Aberdeen City,2012,"Metallic wastes, non-ferrous",1018
Scottish Borders,2012,"Metallic wastes, non-ferrous",37
West Dunbartonshire,2012,"Metallic wastes, non-ferrous",2
Clackmannanshire,2012,"Metallic wastes, non-ferrous",0
Moray,2012,"Metallic wastes, non-ferrous",0
West Lothian,2012,"Metallic wastes, non-ferrous",915
Dundee City,2012,"Metallic wastes, non-ferrous",0
Unknown,2012,"Metallic wastes, non-ferrous",0
Falkirk,2012,"Metallic wastes, mixed ferrous and non-ferrous",249
South Ayrshire,2012,"Metallic wastes, mixed ferrous and non-ferrous",84922
Aberdeenshire,2012,"Metallic wastes, mixed ferrous and non-ferrous",13986
Renfrewshire,2012,"Metallic wastes, mixed ferrous and non-ferrous",15684
East Renfrewshire,2012,"Metallic wastes, mixed ferrous and non-ferrous",221
Fife,2012,"Metallic wastes, mixed ferrous and non-ferrous",7499
City of Edinburgh,2012,"Metallic wastes, mixed ferrous and non-ferrous",2162
East Dunbartonshire,2012,"Metallic wastes, mixed ferrous and non-ferrous",93
North Ayrshire,2012,"Metallic wastes, mixed ferrous and non-ferrous",3189
Offshore,2012,"Metallic wastes, mixed ferrous and non-ferrous",47
Glasgow City,2012,"Metallic wastes, mixed ferrous and non-ferrous",2418
North Lanarkshire,2012,"Metallic wastes, mixed ferrous and non-ferrous",117
East Lothian,2012,"Metallic wastes, mixed ferrous and non-ferrous",331
Argyll and Bute,2012,"Metallic wastes, mixed ferrous and non-ferrous",207
Angus,2012,"Metallic wastes, mixed ferrous and non-ferrous",6206
Dumfries and Galloway,2012,"Metallic wastes, mixed ferrous and non-ferrous",2064
Shetland Islands,2012,"Metallic wastes, mixed ferrous and non-ferrous",108
Stirling,2012,"Metallic wastes, mixed ferrous and non-ferrous",175
South Lanarkshire,2012,"Metallic wastes, mixed ferrous and non-ferrous",1242
Perth and Kinross,2012,"Metallic wastes, mixed ferrous and non-ferrous",97
East Ayrshire,2012,"Metallic wastes, mixed ferrous and non-ferrous",7
Outer Hebrides,2012,"Metallic wastes, mixed ferrous and non-ferrous",288
Inverclyde,2012,"Metallic wastes, mixed ferrous and non-ferrous",68
Highland,2012,"Metallic wastes, mixed ferrous and non-ferrous",190
Midlothian,2012,"Metallic wastes, mixed ferrous and non-ferrous",108
Orkney Islands,2012,"Metallic wastes, mixed ferrous and non-ferrous",123
Aberdeen City,2012,"Metallic wastes, mixed ferrous and non-ferrous",32134
Scottish Borders,2012,"Metallic wastes, mixed ferrous and non-ferrous",589
West Dunbartonshire,2012,"Metallic wastes, mixed ferrous and non-ferrous",304
Clackmannanshire,2012,"Metallic wastes, mixed ferrous and non-ferrous",111
Moray,2012,"Metallic wastes, mixed ferrous and non-ferrous",180
West Lothian,2012,"Metallic wastes, mixed ferrous and non-ferrous",14505
Dundee City,2012,"Metallic wastes, mixed ferrous and non-ferrous",104
Unknown,2012,"Metallic wastes, mixed ferrous and non-ferrous",0
Falkirk,2012,Glass wastes,528
South Ayrshire,2012,Glass wastes,0
Aberdeenshire,2012,Glass wastes,346
Renfrewshire,2012,Glass wastes,2433
East Renfrewshire,2012,Glass wastes,1208
Fife,2012,Glass wastes,3721
City of Edinburgh,2012,Glass wastes,6966
East Dunbartonshire,2012,Glass wastes,858
North Ayrshire,2012,Glass wastes,945
Offshore,2012,Glass wastes,25
Glasgow City,2012,Glass wastes,32549
North Lanarkshire,2012,Glass wastes,549
East Lothian,2012,Glass wastes,372
Argyll and Bute,2012,Glass wastes,539
Angus,2012,Glass wastes,179
Dumfries and Galloway,2012,Glass wastes,1003
Shetland Islands,2012,Glass wastes,20
Stirling,2012,Glass wastes,415
South Lanarkshire,2012,Glass wastes,5923
Perth and Kinross,2012,Glass wastes,724
East Ayrshire,2012,Glass wastes,1821
Outer Hebrides,2012,Glass wastes,163
Inverclyde,2012,Glass wastes,43
Highland,2012,Glass wastes,3078
Midlothian,2012,Glass wastes,2392
Orkney Islands,2012,Glass wastes,154
Aberdeen City,2012,Glass wastes,702
Scottish Borders,2012,Glass wastes,2096
West Dunbartonshire,2012,Glass wastes,0
Clackmannanshire,2012,Glass wastes,2149
Moray,2012,Glass wastes,2642
West Lothian,2012,Glass wastes,882
Dundee City,2012,Glass wastes,1796
Unknown,2012,Glass wastes,0
Falkirk,2012,Paper and cardboard wastes,2681
South Ayrshire,2012,Paper and cardboard wastes,132
Aberdeenshire,2012,Paper and cardboard wastes,3207
Renfrewshire,2012,Paper and cardboard wastes,1296
East Renfrewshire,2012,Paper and cardboard wastes,166
Fife,2012,Paper and cardboard wastes,5089
City of Edinburgh,2012,Paper and cardboard wastes,5756
East Dunbartonshire,2012,Paper and cardboard wastes,1024
North Ayrshire,2012,Paper and cardboard wastes,5202
Offshore,2012,Paper and cardboard wastes,527
Glasgow City,2012,Paper and cardboard wastes,15744
North Lanarkshire,2012,Paper and cardboard wastes,1347
East Lothian,2012,Paper and cardboard wastes,120
Argyll and Bute,2012,Paper and cardboard wastes,972
Angus,2012,Paper and cardboard wastes,495
Dumfries and Galloway,2012,Paper and cardboard wastes,155
Shetland Islands,2012,Paper and cardboard wastes,21
Stirling,2012,Paper and cardboard wastes,551
South Lanarkshire,2012,Paper and cardboard wastes,1272
Perth and Kinross,2012,Paper and cardboard wastes,1603
East Ayrshire,2012,Paper and cardboard wastes,144
Outer Hebrides,2012,Paper and cardboard wastes,195
Inverclyde,2012,Paper and cardboard wastes,433
Highland,2012,Paper and cardboard wastes,1431
Midlothian,2012,Paper and cardboard wastes,1463
Orkney Islands,2012,Paper and cardboard wastes,665
Aberdeen City,2012,Paper and cardboard wastes,9044
Scottish Borders,2012,Paper and cardboard wastes,183
West Dunbartonshire,2012,Paper and cardboard wastes,31
Clackmannanshire,2012,Paper and cardboard wastes,150
Moray,2012,Paper and cardboard wastes,1167
West Lothian,2012,Paper and cardboard wastes,4548
Dundee City,2012,Paper and cardboard wastes,1699
Unknown,2012,Paper and cardboard wastes,0
Falkirk,2012,Rubber wastes,453
South Ayrshire,2012,Rubber wastes,2
Aberdeenshire,2012,Rubber wastes,87
Renfrewshire,2012,Rubber wastes,151
East Renfrewshire,2012,Rubber wastes,2
Fife,2012,Rubber wastes,228
City of Edinburgh,2012,Rubber wastes,111
East Dunbartonshire,2012,Rubber wastes,2
North Ayrshire,2012,Rubber wastes,2
Offshore,2012,Rubber wastes,0
Glasgow City,2012,Rubber wastes,63
North Lanarkshire,2012,Rubber wastes,62
East Lothian,2012,Rubber wastes,7402
Argyll and Bute,2012,Rubber wastes,12
Angus,2012,Rubber wastes,2
Dumfries and Galloway,2012,Rubber wastes,20
Shetland Islands,2012,Rubber wastes,32
Stirling,2012,Rubber wastes,1
South Lanarkshire,2012,Rubber wastes,31
Perth and Kinross,2012,Rubber wastes,8
East Ayrshire,2012,Rubber wastes,11
Outer Hebrides,2012,Rubber wastes,64
Inverclyde,2012,Rubber wastes,8
Highland,2012,Rubber wastes,261
Midlothian,2012,Rubber wastes,10
Orkney Islands,2012,Rubber wastes,0
